state	year	precinct	g2008_USP_tv	g2008_USP_dv	g2008_USP_rv	g2008_STS_tv	g2008_STS_dv	g2008_STS_rv	sd	g2008_USS_tv	g2008_USS_dv	g2008_USS_rv	g2008_USH_tv	g2008_USH_dv	g2008_USH_rv	g2008_GOV_tv	g2008_GOV_dv	g2008_GOV_rv	g2008_LTG_tv	g2008_LTG_dv	g2008_LTG_rv	g2008_INS_tv	g2008_INS_dv	g2008_INS_rv	g2008_STH_tv	g2008_STH_dv	g2008_STH_rv	ld
"DE"	2008	"03-11"	1105	662	427	1060	531	529	4	1074	669	405	1058	298	745	1066	679	380	1048	540	508	1028	532	476	1039	344	695	11
"DE"	2008	"03-12"	1005	749	241					961	730	231	922	458	452	947	728	213	919	654	265	924	641	260	517		517	12
"DE"	2008	"03-13"	302	266	36	255	255		3	288	255	33	269	195	73	279	243	35	267	231	36	272	231	41	260	254		13
"DE"	2008	"03-14"	1430	796	613					1379	841	538	1364	405	944	1395	803	589	1340	749	591	1334	586	703	1031	1031		14
"DE"	2008	"03-15"	1192	860	319					1147	846	301	1091	594	489	1130	837	290	1113	802	311	1103	759	314	940	940		15
"DE"	2008	"03-16"	1088	1068	20					1020	994	26	940	788	149	994	967	26	956	870	86	939	878	53	942	942		16
"DE"	2008	"03-17"	903	684	210					879	687	192	835	413	418	866	693	169	837	651	186	822	593	216	846	714	132	17
"DE"	2008	"03-18"	1031	824	193					977	777	200	933	502	420	958	774	175	929	710	219	916	662	229	945	598	335	18
"DE"	2008	"03-19"	815	518	289					784	516	268	774	247	522	784	555	222	766	475	291	763	442	302	779	617	157	19
"DE"	2008	"03-20"	784	527	246					760	513	247	726	260	460	750	527	216	743	471	272	729	459	260	480		480	20
"DE"	2008	"03-21"	934	590	327					890	572	318	869	275	581	875	600	269	849	507	342	848	481	342	895	370	525	21
"DE"	2008	"03-22"	513	263	245	490	185	305	6	503	286	217	490	94	394	498	312	186	489	237	252	484	218	259	488	157	331	22
"DE"	2008	"03-23"	1048	693	343	1009	548	461	6	1032	711	321	1011	314	686	1033	754	273	1005	652	351	980	583	369	1001	758	233	23
"DE"	2008	"03-24"	684	549	125					638	511	127	608	346	256	628	508	114	611	469	142	583	423	143	605	379	218	24
"DE"	2008	"03-25"	1016	733	270	771	771		11	971	719	252	922	464	450	955	739	214	934	661	273	925	624	275	956	723	233	25
"DE"	2008	"03-26"	699	524	169	546	546		11	672	494	178	634	284	341	654	504	146	632	446	186	628	426	184	644	479	165	26
"DE"	2008	"03-27"	876	642	228	813	544	269	10	852	641	211	813	394	413	834	634	198	814	572	242	819	568	234	836	453	345	27
"DE"	2008	"03-28"	151	113	37					148	111	37	139	59	80	146	113	33	143	115	28	136	97	34	128	128		28
"DE"	2008	"03-29"	1290	578	687					1292	598	694	1276	391	872	1302	659	635	1262	583	679	1251	518	698	1288	525	763	29
"DE"	2008	"03-30"	1566	598	954					1533	616	917	1499	379	1106	1525	752	768	1505	663	842	1494	551	909	1212		1212	30
"DE"	2008	"03-31"	2132	1272	844	2053	1123	930	17	2062	1281	781	2013	688	1321	2075	1432	639	2028	1221	806	1970	1035	911	2053	1081	972	31
"DE"	2008	"03-32"	1445	805	626	1359	739	620	17	1396	801	595	1343	462	865	1390	908	480	1357	782	575	1342	690	634	1390	723	667	32
"DE"	2008	"03-33"	1274	608	660	1214	513	701	16	1222	615	607	1191	338	834	1224	706	512	1197	622	574	1181	533	631	1217	617	600	33
"DE"	2008	"03-34"	1812	982	808					1760	1000	760	1707	584	1106	1753	1087	657	1726	984	742	1691	837	821	1706	730	976	34
"DE"	2008	"03-35"	424	155	262					418	178	240	412	97	313	415	183	231	401	185	215	403	155	241	409	152	257	35
"DE"	2008	"03-36"	1275	620	644	1199	515	684	18	1244	620	624	1216	374	834	1237	687	548	1213	658	554	1214	511	675	900		900	36
"DE"	2008	"03-37"	1602	764	825	1489	662	827	18	1548	777	771	1517	456	1050	1543	800	734	1508	792	715	1481	560	888	1525	593	932	37
"DE"	2008	"03-38"	2613	1130	1459					2522	1221	1301	2491	681	1790	2528	1249	1270	2458	1157	1301	2438	980	1410	2551	700	1851	38
"DE"	2008	"03-39"	1132	469	655					1099	500	599	1078	280	788	1094	544	547	1070	470	600	1051	413	616	1078	292	782	39
