state	year	town	cd	cd2	g2006_GOV_rv	g2006_GOV_dv	g2006_SOS_dv	g2006_SOS_lv	g2006_TRE_rv	g2006_TRE_dv	g2006_COM_rv	g2006_COM_dv	g2006_ATG_rv	g2006_ATG_dv	g2006_USS_rv	g2006_USS_dv	g2006_USH_dv	g2006_USH_rv	g2006_USH_rv2	g2006_USH_dv2	g2006_USS_iv
"CT"	2006	"Clinton"	2		3435	1626	3483	55	1524	3028	1489	3012	1120	3681	524	1704	2299	2641			2897
"CT"	2006	"Colchester"	2		3578	2084	4156	51	1528	3601	1447	3641	1209	4145	644	2258	2729	2845			2783
"CT"	2006	"Colebrook"	1		452	211	459	4	190	396	179	408	162	469	91	274	380	211			311
"CT"	2006	"Columbia"	2		1495	956	1843	21	625	1643	577	1695	537	1835	274	1088	1322	1119			1135
"CT"	2006	"Cornwall"	5		433	330	564	12	164	511	153	528	134	605	60	507	565	201			219
"CT"	2006	"Coventry"	2		2821	1825	3428	44	1196	3047	1117	3112	1013	3409	519	2186	2509	2016			2002
"CT"	2006	"Cromwell"	1		3378	2062	4123	28	1384	3638	1290	3664	1141	4088	570	2268	3661	1386			2603
"CT"	2006	"Danbury"	5		10954	4715	8886	160	5204	8217	5353	8349	4197	10083	1820	6655	8479	6251			7234
"CT"	2006	"Darien"	4		6299	1344	2500	99	4278	2362	4229	2352	3381	3854	858	2225	2522	5272			4723
"CT"	2006	"Deep River"	2		1165	826	1501	18	482	1339	476	1340	397	1528	188	903	1068	888			943
"CT"	2006	"Derby"	3		2450	1184	2267	44	1017	1923	952	1962	713	2514	689	1101	2494	802			1882
"CT"	2006	"Durham"	2	3	2161	1059	2441	18	1021	1977	956	2014	712	2436	327	1212	1104	1265	235	578	1694
"CT"	2006	"East Granby"	1		1444	685	1407	35	691	1265	674	1237	669	1376	271	832	1237	745			1048
"CT"	2006	"East Haddam"	2		2285	1322	2627	31	1038	2239	958	2319	830	2591	372	1562	1807	1767			1715
"CT"	2006	"East Hampton"	2		3332	1779	3675	53	1368	3172	1305	3231	1181	3663	615	1951	2332	2561			2608
"CT"	2006	"East Hartford"	1		6517	5690	9809	85	2388	9071	2153	9127	1841	10055	1012	5858	9787	2262			5400
"CT"	2006	"East Haven"	3		5703	2582	5544	38	2166	4905	2112	4904	1276	6411	753	2664	6255	1571			5026
"CT"	2006	"East Lyme"	2		4878	2620	5356	74	2218	4680	2495	4402	1414	5877	631	2960	3704	3797			3957
"CT"	2006	"East Windsor"	1		2273	1237	2439	55	1421	1893	893	2183	803	2463	451	1430	2347	926			1683
"CT"	2006	"Eastford"	2		519	218	440	7	277	375	262	402	226	468	102	246	274	455			408
"CT"	2006	"Easton"	4		2497	836	1573	44	1537	1463	1498	1483	1146	2034	323	1160	1435	1904			1897
"CT"	2006	"Ellington"	2		3613	1575	3571	81	1726	2931	1451	3144	1287	3606	630	1952	2551	2510			2607
"CT"	2006	"Enfield"	2		8889	4950	10314	123	4032	8487	3278	9084	2839	10240	1584	5961	7059	6421			6532
"CT"	2006	"Essex"	2		2246	1059	2242	27	1096	1936	1064	1952	848	2304	280	1384	1628	1637			1678
"CT"	2006	"Fairfield"	4		15684	5977	11593	257	8379	10579	8422	10365	6234	14174	1731	8041	10063	11694			12158
"CT"	2006	"Farmington"	5		6806	3708	7311	87	3277	6484	3142	6516	3011	7127	1158	4378	5947	4414			5117
"CT"	2006	"Franklin"	2		545	270	621	13	243	490	254	498	155	626	90	295	373	452			458
"CT"	2006	"Glastonbury"	1	2	9728	5048	10145	128	4256	9361	4560	8776	4176	9980	1453	6056	6556	2484	2642	2441	7414
"CT"	2006	"Goshen"	5		989	384	876	9	521	727	473	755	438	880	188	484	681	683			726
"CT"	2006	"Granby"	1		3408	1548	3254	48	1693	2847	1664	2825	1511	3217	572	1947	2837	1794			2470
"CT"	2006	"Greenwich"	4		14552	5693	8755	298	9324	8700	9446	8309	7538	11918	1817	8258	9146	11655			11160
"CT"	2006	"Griswold"	2		2119	1244	2375	49	852	1985	1281	1759	591	2475	330	1342	1564	1713			1731
"CT"	2006	"Groton"	2		6443	3673	6803	173	3021	5772	4962	4598	2151	7327	887	3989	4758	5425			5452
"CT"	2006	"Guilford"	3		6551	3107	6551	85	2857	4728	2771	5809	2750	6952	731	3909	7010	2287			5170
"CT"	2006	"Haddam"	2		2258	1262	2581	34	987	2256	942	2297	816	2562	350	1471	1725	1749			1750
"CT"	2006	"Hamden"	3		10940	8509	13510	181	3835	12451	3715	12227	2867	14582	1276	8294	14616	3468			10170
"CT"	2006	"Hampton"	2		465	351	583	10	233	509	215	544	179	612	89	391	441	392			370
"CT"	2006	"Hartford"	1		4477	10263	11881	178	1116	12557	974	11748	1242	12270	567	10521	12037	1279			4456
"CT"	2006	"Hartland"	1		608	258	515	3	368	440	355	449	341	505	160	300	447	390			439
"CT"	2006	"Harwinton"	5		1693	707	1621	28	830	1354	758	1411	678	1647	390	787	1237	1128			1284
