state	year	county	ed	precinct	cd	g2004_COM_dv	g2004_COM_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USS_dv	g2004_USS_rv	g2004_USS_tv
"MD"	2004	17	13	8	4		0	1120	59	1253	1233	59	1299	1190	42	1253
"MD"	2004	17	13	9	4		0	1638	176	1911	1801	153	1960	1799	91	1907
"MD"	2004	17	13	10	4		0	1642	103	1810	1724	127	1859	1716	72	1819
"MD"	2004	17	13	11	4		0	2000	144	2322	2195	183	2390	2190	119	2339
"MD"	2004	17	13	12	4		0	1911	168	2223	2068	188	2263	2088	116	2225
"MD"	2004	17	13	13	4		0	1194	104	1375	1281	120	1402	1277	91	1381
"MD"	2004	17	13	14	4		0	1143	84	1293	1245	82	1330	1218	60	1295
"MD"	2004	17	13	15	4		0	2078	277	2484	2206	362	2576	2235	247	2503
"MD"	2004	17	13	16	4		0	1331	65	1441	1412	66	1485	1379	45	1446
"MD"	2004	17	13	17	4		0	939	46	1087	1072	65	1142	1028	44	1090
"MD"	2004	17	14	1	5		0	1767	413	2223	1644	631	2295	1774	451	2255
"MD"	2004	17	14	2	5		0	1847	235	2118	1862	329	2204	1861	263	2146
"MD"	2004	17	14	3	5		0	877	498	1402	690	728	1441	853	550	1418
"MD"	2004	17	14	4	5		0	781	432	1250	658	619	1289	751	500	1266
"MD"	2004	17	14	5	5		0	1257	512	1813	1112	741	1875	1244	567	1841
"MD"	2004	17	14	6	5		0	543	385	956	426	550	992	506	441	973
"MD"	2004	17	14	7	5		0	925	214	1155	865	314	1187	925	232	1165
"MD"	2004	17	14	8	5		0	1229	199	1452	1199	296	1509	1254	204	1478
"MD"	2004	17	14	9	5		0	1574	580	2213	1417	872	2306	1557	653	2242
"MD"	2004	17	14	10	5		0	969	245	1240	896	367	1275	933	303	1253
"MD"	2004	17	15	1	5		0	1674	353	2061	1647	472	2130	1673	387	2079
"MD"	2004	17	15	2	4		0	720	99	855	748	126	882	758	81	853
"MD"	2004	17	15	3	5		0	2019	314	2361	1967	480	2457	2018	347	2389
"MD"	2004	17	15	4	5		0	1480	288	1801	1451	389	1854	1503	289	1821
"MD"	2004	17	15	5	4		0	2119	282	2508	2241	330	2585	2250	240	2522
"MD"	2004	17	16	1	4		0	253	65	341	298	82	382	298	57	362
"MD"	2004	17	16	2	4		0	309	89	440	358	98	463	367	72	449
"MD"	2004	17	16	3	5		0	1514	288	1930	1600	404	2044	1593	315	1973
"MD"	2004	17	16	4	4		0	1128	237	1435	1240	308	1561	1275	195	1498
"MD"	2004	17	16	99	4		0	0	0	0	0	0	0	0	0	0
"MD"	2004	17	17	1	8		0	1335	136	1477	1348	205	1582	1322	152	1519
"MD"	2004	17	17	2	8		0	671	88	760	693	153	853	691	104	808
"MD"	2004	17	17	3	8		0	811	88	900	888	163	1061	878	81	986
"MD"	2004	17	17	4	8		0	981	66	1049	1050	99	1157	1018	61	1095
"MD"	2004	17	17	5	8		0	547	59	607	552	99	659	548	64	630
"MD"	2004	17	17	6	8		0	647	67	716	668	126	796	665	73	753
"MD"	2004	17	17	7	8		0	1648	84	1734	1741	123	1875	1675	90	1787
"MD"	2004	17	17	8	4		0	939	175	1177	1060	196	1274	1009	160	1198
"MD"	2004	17	17	9	4		0	721	173	953	826	213	1053	844	134	1001
"MD"	2004	17	17	10	4		0	1315	188	1589	1466	221	1697	1452	141	1612
"MD"	2004	17	17	11	8		0	1249	80	1331	1340	120	1468	1296	83	1398
"MD"	2004	17	17	12	8		0	1064	93	1157	1121	140	1277	1074	101	1202
"MD"	2004	17	18	1	4		0	1381	83	1503	1460	99	1574	1441	54	1511
"MD"	2004	17	18	2	4		0	798	38	864	843	43	888	822	28	862
"MD"	2004	17	18	3	4		0	1069	45	1158	1155	64	1224	1111	35	1164
"MD"	2004	17	18	4	4		0	805	41	872	847	50	903	842	31	883
"MD"	2004	17	18	5	4		0	733	21	811	801	54	862	793	24	832
"MD"	2004	17	18	6	4		0	1777	109	1951	1911	100	2021	1871	60	1953
"MD"	2004	17	18	7	4		0	1214	60	1305	1311	71	1386	1259	45	1317
"MD"	2004	17	18	8	4		0	853	40	937	926	59	991	896	35	945
"MD"	2004	17	18	9	4		0	849	63	945	925	74	1003	905	39	959
"MD"	2004	17	18	10	4		0	522	32	570	574	30	610	550	23	578
"MD"	2004	17	18	11	4		0	820	42	885	877	55	937	829	48	890
"MD"	2004	17	18	12	4		0	80	2	99	94	9	103	97	2	99
"MD"	2004	17	19	1	5		0	966	225	1248	957	349	1327	1006	235	1274
"MD"	2004	17	19	2	5		0	889	159	1075	900	230	1147	916	150	1096
"MD"	2004	17	19	3	5		0	999	238	1295	981	321	1330	1027	248	1299
"MD"	2004	17	19	4	4		0	606	112	767	673	152	830	663	108	789
