state	year	county	cd	g2010_REG_tv	g2010_BALL_tv	g2010_USS_rv	g2010_USS_dv	g2010_GOV_dv	g2010_GOV_rv	g2010_LTG_rv	g2010_LTG_dv	g2010_SOS_dv	g2010_SOS_rv	g2010_COM_dv	g2010_COM_rv	g2010_TRE_rv	g2010_ATG_rv	g2010_USH_dv	g2010_USH_rv
"ID"	2010	"132"	1	2639	1513	1185	279	399	1013	1078	306	269	1185	1118	312	1241	1234	523.0	914.0
"ID"	2010	"133"	1	2426	1387	1037	294	457	828	947	334	274	1071	961	362	1143	1154	511.0	781.0
"ID"	2010	"134"	1	1132	707	557	131	173	473	524	129	126	563	511	168	594	602	233.0	424.0
"ID"	2010	"135"	1	1531	909	692	182	240	572	659	203	188	704	687	196	752	761	328.0	506.0
"ID"	2010	"136"	1	1768	991	745	194	265	621	702	203	200	758	712	234	825	830	335.0	586.0
"ID"	2010	"137"	1	1250	727	579	126	171	490	554	123	115	592	540	158	621	623	239.0	425.0
"ID"	2010	"138"	1	1277	741	520	170	232	420	476	180	167	543	476	215	582	593	313.0	344.0
"ID"	2010	"139"	2	1590	811	526	260	325	411	462	270	234	537	458	298	614	627	245.0	522.0
"ID"	2010	"140"	1	1787	993	776	173	248	649	708	175	170	761	717	197	796	804	346.0	546.0
"ID"	2010	"141"	1	1867	918	664	194	250	532	603	207	210	667	633	237	758	761	360.0	435.0
"ID"	2010	"CO. TOTAL"	2	215357	122175	80273	36377	46777	63871	74972	37286	33487	84079	73546	41538	92177	93059	17444.0	24087.0
"ID"	2010	"1 Indian Valley"	1	221	176	125	32	28	117	122	28	29	136	136	30	134	138	76.0	76.0
"ID"	2010	"2 Council"	1	610	379	282	60	79	268	277	64	74	278	276	70	296	296	149.0	195.0
"ID"	2010	"3 No. Council"	1	777	515	366	99	113	343	357	100	101	381	368	106	405	400	178.0	251.0
"ID"	2010	"4 Bear"	1	36	32	27	4	6	22	29	3	4	28	27	4	27	26	15.0	15.0
"ID"	2010	"5 New Meadows"	1	997	572	401	132	145	365	408	127	115	433	403	140	468	471	238.0	270.0
"ID"	2010	"6 Little Salmon River"	1	54	40	24	11	13	22	20	12	12	26	25	13	29	29	13.0	16.0
"ID"	2010	"CO. TOTAL"	2	2695	1714	1225	338	384	1137	1213	334	335	1282	1235	363	1359	1360	0.0	0.0
"ID"	2010	"Pocatello 1"	2	790	400	235	147	187	195	210	161	141	250	225	157	296	286	137.0	220.0
"ID"	2010	"Pocatello 2"	2	824	441	292	134	182	235	260	146	132	286	268	147	344	345	122.0	301.0
"ID"	2010	"Pocatello 3"	2	765	441	260	165	214	196	209	190	153	272	244	171	332	329	155.0	254.0
"ID"	2010	"Pocatello 4"	2	924	403	180	200	229	130	156	211	209	176	183	200	272	274	181.0	181.0
"ID"	2010	"Pocatello 5"	2	914	437	241	173	232	171	213	193	186	232	222	192	343	340	148.0	244.0
"ID"	2010	"Pocatello 6"	2	709	261	107	134	150	82	97	140	135	113	105	141	169	169	123.0	111.0
"ID"	2010	"Pocatello 7"	2	540	231	142	78	111	108	124	85	71	150	142	77	182	183	71.0	146.0
"ID"	2010	"Pocatello 8"	2	569	226	102	110	131	63	82	123	122	94	100	114	162	163	101.0	103.0
"ID"	2010	"Pocatello 9"	2	635	304	174	116	159	115	144	138	127	166	167	125	242	240	111.0	160.0
"ID"	2010	"Pocatello 10"	2	929	509	308	168	219	246	273	190	190	302	301	190	430	419	169.0	290.0
"ID"	2010	"Pocatello 11"	2	753	302	195	88	138	134	165	112	102	188	189	103	257	255	87.0	197.0
"ID"	2010	"Pocatello 12"	2	787	383	236	125	160	179	214	132	133	234	230	136	295	291	113.0	234.0
"ID"	2010	"Pocatello 13"	2	742	315	185	106	141	133	160	118	114	179	178	115	251	255	101.0	182.0
"ID"	2010	"Pocatello 14"	2	821	414	264	123	152	214	245	134	132	262	267	124	333	329	108.0	266.0
"ID"	2010	"Pocatello 15"	2	657	282	173	89	114	133	156	99	95	168	169	94	229	233	86.0	169.0
"ID"	2010	"Pocatello 17"	2	722	355	217	117	147	178	196	129	119	219	221	114	278	280	109.0	216.0
"ID"	2010	"Pocatello 18"	2	763	412	286	115	172	208	247	146	148	251	267	128	339	343	122.0	261.0
"ID"	2010	"Pocatello 19"	2	614	265	150	93	129	106	139	106	113	143	150	106	210	206	79.0	153.0
"ID"	2010	"Pocatello 20"	2	601	258	142	101	129	107	122	112	111	138	132	114	189	194	101.0	133.0
"ID"	2010	"Pocatello 21"	2	686	298	196	81	133	139	171	92	98	187	172	101	244	244	78.0	180.0
"ID"	2010	"Pocatello 22"	2	835	363	210	132	171	150	187	153	136	209	208	137	302	300	127.0	203.0
"ID"	2010	"Pocatello 23"	2	737	362	202	134	186	136	184	145	137	207	208	130	297	294	116.0	207.0
"ID"	2010	"Pocatello 24"	2	623	233	102	119	144	60	83	128	124	100	92	129	155	158	117.0	101.0
"ID"	2010	"Pocatello 25"	2	587	219	104	91	113	76	83	101	95	104	103	94	136	138	90.0	97.0
"ID"	2010	"Pocatello 26"	2	727	242	109	122	147	77	91	126	133	100	96	140	141	141	113.0	108.0
"ID"	2010	"Pocatello 27"	2	736	242	136	99	132	91	116	108	96	137	130	97	173	170	93.0	130.0
"ID"	2010	"Pocatello 28"	2	966	301	167	115	129	131	155	113	108	175	168	111	229	227	105.0	156.0
"ID"	2010	"Pocatello 31"	2	718	291	119	156	193	76	92	172	164	111	104	168	190	194	142.0	115.0
"ID"	2010	"Pocatello 32"	2	566	271	145	113	135	112	128	124	111	150	133	121	207	207	101.0	151.0
"ID"	2010	"Pocatello 34"	2	763	361	229	117	153	188	216	128	117	231	221	119	294	300	111.0	214.0
"ID"	2010	"Pocatello 35"	2	1038	442	296	124	169	242	271	143	126	307	300	128	368	368	120.0	294.0
"ID"	2010	"Pocatello 36"	2	784	400	282	99	145	227	256	117	104	285	272	111	330	327	99.0	273.0
"ID"	2010	"Pocatello 37"	2	1110	569	422	133	203	336	393	147	133	420	406	148	474	477	116.0	421.0
"ID"	2010	"Pocatello 38"	2	510	264	200	61	95	155	193	62	64	196	186	71	223	226	54.0	195.0
"ID"	2010	"Pocatello 39"	2	681	289	208	69	112	167	189	80	67	205	191	79	236	232	64.0	205.0
"ID"	2010	"Pocatello 40"	2	268	139	94	36	48	82	88	40	39	94	93	41	103	107	37.0	89.0
