state	year	county_name	town_name	county	town	ward	cd	precinct	g2004_BALL_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"MI"	2004	"GOGEBIC"	"IRONWOOD CITY"	27	54	0	1	2	696	431	246	690	540	132	681
"MI"	2004	"GOGEBIC"	"IRONWOOD CITY"	27	54	0	1	3	908	482	407	901	694	189	891
"MI"	2004	"GOGEBIC"	"IRONWOOD CITY"	27	54	0	1	4	613	383	221	609	512	87	603
"MI"	2004	"GOGEBIC"	"WAKEFIELD CITY"	27	56	0	1	1	946	527	407	939	707	211	924
"MI"	2004	"GD. TRAVERSE"	"ACME TOWNSHIP"	28	2	0	4	1	1855	666	1164	1850	494	1262	1779
"MI"	2004	"GD. TRAVERSE"	"ACME TOWNSHIP"	28	2	0	4	2	951	287	655	948	208	709	927
"MI"	2004	"GD. TRAVERSE"	"BLAIR TOWNSHIP"	28	4	0	4	1	1372	559	780	1364	436	833	1295
"MI"	2004	"GD. TRAVERSE"	"BLAIR TOWNSHIP"	28	4	0	4	2	1855	631	1202	1848	493	1274	1789
"MI"	2004	"GD. TRAVERSE"	"EAST BAY TOWNSHIP"	28	6	0	4	1	1148	485	651	1147	356	716	1094
"MI"	2004	"GD. TRAVERSE"	"EAST BAY TOWNSHIP"	28	6	0	4	2	1714	605	1094	1712	457	1162	1633
"MI"	2004	"GD. TRAVERSE"	"EAST BAY TOWNSHIP"	28	6	0	4	3	1428	529	883	1422	405	935	1355
"MI"	2004	"GD. TRAVERSE"	"EAST BAY TOWNSHIP"	28	6	0	4	4	1689	582	1085	1682	453	1136	1604
"MI"	2004	"GD. TRAVERSE"	"FIFE LAKE TOWNSHIP"	28	8	0	4	1	810	318	486	809	246	516	770
"MI"	2004	"GD. TRAVERSE"	"GARFIELD TOWNSHIP"	28	10	0	4	1	1478	525	935	1472	355	1047	1419
"MI"	2004	"GD. TRAVERSE"	"GARFIELD TOWNSHIP"	28	10	0	4	2	2246	788	1428	2240	600	1537	2151
"MI"	2004	"GD. TRAVERSE"	"GARFIELD TOWNSHIP"	28	10	0	4	3	1617	756	835	1615	604	908	1544
"MI"	2004	"GD. TRAVERSE"	"GARFIELD TOWNSHIP"	28	10	0	4	4	1690	720	949	1685	584	1017	1621
"MI"	2004	"GD. TRAVERSE"	"GARFIELD TOWNSHIP"	28	10	0	4	5	1185	407	767	1181	283	839	1135
"MI"	2004	"GD. TRAVERSE"	"GRANT TOWNSHIP"	28	12	0	4	1	591	215	364	589	162	389	567
"MI"	2004	"GD. TRAVERSE"	"GREEN LAKE TOWNSHIP"	28	14	0	4	1	1299	493	792	1296	370	866	1250
"MI"	2004	"GD. TRAVERSE"	"GREEN LAKE TOWNSHIP"	28	14	0	4	2	1750	735	979	1742	588	1052	1673
"MI"	2004	"GD. TRAVERSE"	"LONG LAKE TOWNSHIP"	28	16	0	4	1	1489	534	935	1487	405	978	1395
"MI"	2004	"GD. TRAVERSE"	"LONG LAKE TOWNSHIP"	28	16	0	4	2	1648	563	1066	1644	417	1153	1584
"MI"	2004	"GD. TRAVERSE"	"LONG LAKE TOWNSHIP"	28	16	0	4	3	1739	607	1114	1737	469	1173	1663
"MI"	2004	"GD. TRAVERSE"	"MAYFIELD TOWNSHIP"	28	18	0	4	1	692	239	445	690	178	475	661
"MI"	2004	"GD. TRAVERSE"	"PARADISE TOWNSHIP"	28	20	0	4	1	1118	351	748	1116	260	788	1071
"MI"	2004	"GD. TRAVERSE"	"PARADISE TOWNSHIP"	28	20	0	4	2	937	354	571	937	264	626	904
"MI"	2004	"GD. TRAVERSE"	"PENINSULA TOWNSHIP"	28	22	0	4	1	2091	794	1275	2082	589	1398	2008
"MI"	2004	"GD. TRAVERSE"	"PENINSULA TOWNSHIP"	28	22	0	4	2	2037	795	1213	2026	600	1356	1969
"MI"	2004	"GD. TRAVERSE"	"UNION TOWNSHIP"	28	24	0	4	1	205	86	117	204	71	124	196
"MI"	2004	"GD. TRAVERSE"	"WHITEWATER TOWNSHIP"	28	26	0	4	1	1494	467	1007	1487	359	1038	1419
"MI"	2004	"GD. TRAVERSE"	"TRAVERSE CITY"	28	52	0	4	1	1772	907	839	1765	738	935	1697
"MI"	2004	"GD. TRAVERSE"	"TRAVERSE CITY"	28	52	0	4	3	1490	780	679	1482	638	760	1430
"MI"	2004	"GD. TRAVERSE"	"TRAVERSE CITY"	28	52	0	4	7	1283	606	652	1278	515	700	1238
"MI"	2004	"GD. TRAVERSE"	"TRAVERSE CITY"	28	52	0	4	8	1634	939	671	1630	773	770	1565
"MI"	2004	"GD. TRAVERSE"	"TRAVERSE CITY"	28	52	0	4	9	1168	509	641	1163	371	733	1119
"MI"	2004	"GD. TRAVERSE"	"TRAVERSE CITY"	28	52	0	4	10	865	424	424	861	332	467	811
"MI"	2004	"GRATIOT"	"ARCADA TOWNSHIP"	29	2	0	4	1	885	370	499	880	272	553	830
"MI"	2004	"GRATIOT"	"BETHANY TOWNSHIP"	29	4	0	4	1	667	246	414	662	178	441	619
"MI"	2004	"GRATIOT"	"ELBA TOWNSHIP"	29	6	0	4	1	395	168	218	393	105	272	378
"MI"	2004	"GRATIOT"	"ELBA TOWNSHIP"	29	6	0	4	2	296	129	165	296	97	188	287
"MI"	2004	"GRATIOT"	"EMERSON TOWNSHIP"	29	8	0	4	1	501	185	306	495	133	338	472
"MI"	2004	"GRATIOT"	"FULTON TOWNSHIP"	29	10	0	4	1	1229	488	724	1226	397	790	1197
"MI"	2004	"GRATIOT"	"HAMILTON TOWNSHIP"	29	12	0	4	1	209	71	133	206	51	146	200
