state	year	precinct	precinct_name	cd	g2010_REG_tv	g2010_USS_dv	g2010_USS_tv	g2010_USS_rv	g2010_USH_dv	g2010_USH_tv	g2010_USH_rv	g2010_GOV_dv	g2010_GOV_tv	g2010_GOV_rv
"HI"	2010	"35-02"	"Waipahu High School"	1	3927	976	1170	160	672	1112	440	764	1209	439
"HI"	2010	"35-03"	"August Ahrens Elementary School"	1	4310	1242	1473	189	776	1391	615	949	1494	539
"HI"	2010	"35-04"	"Waipahu Elementary School"	1	1230	338	395	49	236	380	144	267	406	138
"HI"	2010	"36-01"	"Palisades Elementary School"	1	4198	1108	1494	346	737	1453	716	823	1567	734
"HI"	2010	"36-02"	"Pearl City Highlands Elementary School"	1	3490	918	1118	182	631	1067	436	731	1164	426
"HI"	2010	"36-03"	"Manana Elementary School"	1	4780	1136	1450	282	730	1388	658	901	1507	588
"HI"	2010	"36-04"	"Leeward Community College"	1	188	54	70	16	41	69	28	43	74	31
"HI"	2010	"37-01"	"Kanoelani Elementary School"	1	4198	1143	1504	327	744	1437	693	853	1556	698
"HI"	2010	"37-02"	"Mililani High School"	1	3560	892	1234	294	573	1166	593	684	1275	581
"HI"	2010	"37-03"	"Mililani Uka Elementary School"	1	3461	980	1345	327	654	1281	627	766	1385	610
"HI"	2010	"37-04"	"Mililani District Park"	1	3286	808	1112	274	548	1075	527	650	1150	491
"HI"	2010	"38-01"	"Mililani Mauka Elementary School"	1	4524	1308	1728	396	779	1664	885	941	1778	830
"HI"	2010	"38-02"	"Mililani Middle School"	1	4940	1361	1816	427	809	1723	914	1016	1878	853
"HI"	2010	"38-03"	"Mililani Waena Elementary School"	1	3025	714	955	220	453	927	474	527	994	463
"HI"	2010	"38-04"	"Mililani High School"	1	5454	1250	1803	509	809	1736	927	909	1868	941
"HI"	2010	"39-01"	"Helemano Elementary School"	2	1770	467	610	121	449	585	127	348	612	260
"HI"	2010	"39-02"	"Wahiawa Middle School"	2	4727	1053	1379	288	971	1330	323	810	1405	579
"HI"	2010	"39-03"	"Leilehua High School"	2	4275	1179	1551	331	1088	1502	389	928	1600	659
"HI"	2010	"39-04"	"Kipapa Elementary School"	1	1002	169	261	78	112	254	142	127	271	138
"HI"	2010	"40-01"	"Hoaeae Community Park"	2	1722	432	584	137	383	562	174	275	588	311
"HI"	2010	"40-02"	"Kapolei Elementary School"	2	2832	644	916	248	573	875	287	434	926	490
"HI"	2010	"40-03"	"Kapolei High School"	2	4348	991	1418	385	916	1365	427	666	1440	770
"HI"	2010	"40-04"	"Makakilo Elementary School"	2	3215	760	1108	304	712	1074	329	548	1126	563
"HI"	2010	"40-05"	"Mauka Lani Elementary School"	2	5598	1114	1770	597	945	1675	685	767	1790	1012
"HI"	2010	"41-01"	"Waikele Elementary School"	1	3762	911	1229	289	532	1187	655	651	1277	618
"HI"	2010	"41-02"	"Kaleiopuu Elementary School"	2	5084	1371	1783	367	1268	1706	404	965	1802	822
"HI"	2010	"41-03"	"Honowai Elementary School"	1	2257	661	791	114	418	755	337	482	816	328
"HI"	2010	"41-04"	"Waipahu Elementary School"	1	743	115	148	28	70	145	75	86	154	67
"HI"	2010	"42-01"	"Waipahu Field"	1	1513	354	445	82	238	431	193	278	466	187
"HI"	2010	"42-02"	"Waipahu Intermediate School"	1	984	155	198	35	110	194	84	116	205	85
"HI"	2010	"42-03"	"Ilima Intermediate School"	1	3630	682	933	222	438	891	453	524	965	439
"HI"	2010	"42-04"	"Ewa Elementary School"	1	4182	1069	1357	253	694	1268	574	812	1386	568
"HI"	2010	"43-01"	"Ewa Beach Elementary School"	1	3960	799	1261	423	501	1220	719	572	1297	718
"HI"	2010	"43-02"	"Holomua Elementary School"	1	5588	1309	1887	530	781	1801	1020	967	1930	954
"HI"	2010	"43-03"	"Campbell High School"	1	5178	1103	1524	359	728	1465	737	851	1591	733
"HI"	2010	"43-04"	"Pohakea Elementary School"	1	2433	552	754	168	347	692	345	433	780	341
"HI"	2010	"44-01"	"Kamokila Park"	2	962	241	323	69	229	313	75	179	329	146
"HI"	2010	"44-02"	"Maili Elementary School"	2	3880	818	1168	290	768	1126	326	595	1189	589
"HI"	2010	"44-03"	"Nanaikapono Elementary School"	2	6269	1387	1750	291	1312	1679	331	951	1772	801
"HI"	2010	"45-01"	"Makaha Elementary School"	2	3886	789	1143	294	739	1086	308	648	1161	502
"HI"	2010	"45-02"	"Waianae Intermediate School"	2	6184	1433	1867	360	1331	1790	417	1049	1908	835
"HI"	2010	"46-01"	"Kahuku High/Inter School"	2	3050	649	1077	396	550	1049	487	295	1102	801
"HI"	2010	"46-02"	"National Guard Armory"	2	1510	93	132	34	90	128	33	70	133	62
"HI"	2010	"46-03"	"Waialua Elementary School"	2	6114	1413	1989	495	1320	1902	535	1160	2020	839
"HI"	2010	"46-04"	"Sunset Beach Elementary School"	2	2786	558	932	326	502	875	346	499	947	436
"HI"	2010	"47-01"	"Hauula Elementary School"	2	4121	823	1302	404	740	1254	478	561	1343	770
"HI"	2010	"47-02"	"Kahaluu Elementary School"	2	4520	912	1310	325	850	1258	379	739	1352	603
"HI"	2010	"47-03"	"Ahuimanu Elementary School"	2	5071	1192	1701	444	1052	1635	548	922	1730	799
"HI"	2010	"47-04"	"King Intermediate School"	2	658	154	217	54	142	213	65	114	221	106
"HI"	2010	"48-01"	"Heeia Elementary School"	2	4636	1003	1374	337	932	1330	370	778	1401	616
"HI"	2010	"48-02"	"Kapunahala Elementary School"	2	2745	604	802	174	563	785	202	454	825	362
"HI"	2010	"48-03"	"Castle High School"	2	3559	760	1017	219	697	955	239	573	1033	454
"HI"	2010	"48-04"	"Kaneohe Elementary School"	2	3659	957	1224	234	871	1166	270	731	1249	510
"HI"	2010	"49-01"	"Enchanted Lake Elementary School"	2	3545	885	1358	426	824	1312	456	712	1381	662
"HI"	2010	"49-02"	"Puohala Elementary School"	2	3747	755	1044	264	674	988	289	576	1065	481
"HI"	2010	"49-03"	"Maunawili Elementary School"	2	3545	884	1303	376	804	1259	422	706	1327	611
"HI"	2010	"49-04"	"Ben Parker Elementary School"	2	3791	729	1042	278	662	1004	316	536	1060	515
"HI"	2010	"50-01"	"Kainalu Elementary School"	2	4124	984	1566	525	853	1469	585	829	1596	757
"HI"	2010	"50-02"	"Kalaheo High School"	2	4376	829	1337	466	713	1271	528	684	1368	677
"HI"	2010	"50-03"	"Kailua Intermediate School"	2	1404	338	513	154	315	492	163	287	528	240
"HI"	2010	"50-04"	"Kailua Elementary School"	2	4795	1088	1624	470	1031	1547	459	891	1656	749
"HI"	2010	"51-01"	"Lanikai Elementary School"	2	1726	379	614	198	358	587	210	351	628	277
"HI"	2010	"51-02"	"Waimanalo Elem/Inter School"	2	2684	672	929	234	659	887	205	537	942	401
"HI"	2010	"51-03"	"Pope Elementary School"	2	2894	876	1080	178	851	1022	149	678	1097	414
"HI"	2010	"51-04"	"Kaelepulu Elementary School"	2	1715	364	581	196	315	550	223	304	595	291
"HI"	2010	"51-05"	"Keolu Elementary School"	2	4501	1076	1643	500	986	1566	536	898	1679	762
