state	year	county	ed	precinct	cd	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv
"MD"	2000	3	15	9	7	705	9	714	727	22	760	724	19	743
"MD"	2000	3	15	10	7	889	10	899	952	16	972	905	19	924
"MD"	2000	3	15	11	7	656	6	662	711	17	737	681	18	699
"MD"	2000	3	15	12	7	260	5	265	276	7	287	261	9	270
"MD"	2000	3	15	13	7	463	5	468	497	20	525	489	11	500
"MD"	2000	3	15	14	7	627	12	639	662	16	683	636	18	654
"MD"	2000	3	15	15	7	115	2	117	131	1	133	122	1	123
"MD"	2000	3	15	16	7	320	3	323	344	4	351	325	4	329
"MD"	2000	3	15	17	7	609	6	615	661	9	676	614	11	625
"MD"	2000	3	15	18	7	345	2	347	412	5	418	364	11	375
"MD"	2000	3	15	19	7	512	5	517	548	11	560	507	9	516
"MD"	2000	3	15	20	7	797	12	809	870	18	895	834	18	852
"MD"	2000	3	15	21	7	332	5	337	377	5	383	354	3	357
"MD"	2000	3	15	22	7	365	3	368	403	11	417	384	6	390
"MD"	2000	3	15	23	7	186	0	186	204	3	208	192	1	193
"MD"	2000	3	15	24	7	377	3	380	405	4	411	375	10	385
"MD"	2000	3	15	25	7	619	9	628	643	17	664	614	19	633
"MD"	2000	3	15	26	7	429	5	434	470	11	482	442	8	450
"MD"	2000	3	15	27	7	232	0	232	269	5	275	258	2	260
"MD"	2000	3	15	28	7	308	3	311	364	1	365	304	10	314
"MD"	2000	3	15	29	7	682	3	685	756	16	775	721	10	731
"MD"	2000	3	15	30	7	769	8	777	853	13	874	794	17	811
"MD"	2000	3	15	31	7	327	4	331	348	4	356	332	8	340
"MD"	2000	3	16	1	7	304	6	310	340	7	350	322	7	329
"MD"	2000	3	16	2	7	555	9	564	628	11	645	584	11	595
"MD"	2000	3	16	3	7	316	6	322	358	11	371	330	10	340
"MD"	2000	3	16	4	7	340	7	347	373	9	390	352	10	362
"MD"	2000	3	16	5	7	618	6	624	692	15	712	656	11	667
"MD"	2000	3	16	6	7	819	14	833	920	17	946	861	24	885
"MD"	2000	3	16	7	7	432	8	440	479	10	495	454	8	462
"MD"	2000	3	16	8	7	644	9	653	716	17	735	667	20	687
"MD"	2000	3	16	9	7	684	2	686	800	11	816	734	9	743
"MD"	2000	3	16	10	7	420	4	424	485	10	497	465	7	472
"MD"	2000	3	16	11	7	311	1	312	349	3	354	326	6	332
