state	year	parish	ward	precinct	cd	cd2	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USH_dv2	g2000_USH_rv2	g2000_USH_tv2
"LA"	2000	"Jefferson"	"0"	"228"	1		405	575	997	237	612	867			
"LA"	2000	"Jefferson"	"0"	"66"	1		204	592	822	81	624	723			
"LA"	2000	"Caldwell"	"4-"	"1"	5		22	23	48	11	24	35			
"LA"	2000	"Cameron"	"1-"	"1"	7		126	195	342	136		177			
"LA"	2000	"Livingston"	"0"	"39"	6		244	682	943	144	617	783			
"LA"	2000	"Claiborne"	"0"	"51"	4		45	79	127	14	79	96			
"LA"	2000	"Calcasieu"	"0"	"46"	7		277	418	713	464		530			
"LA"	2000	"Orleans"	"7-"	"28"	2		646	25	678						
"LA"	2000	"Rapides"	"0"	"24"	5		111	704	839	66	482	558			
"LA"	2000	"Union"	"6-"	"4"	5		71	169	247	42	156	204			
"LA"	2000	"Tangipahoa"	"0"	"123"	1		305	351	668	135	385	534			
"LA"	2000	"Calcasieu"	"0"	"190"	7		308	180	501	330		364			
"LA"	2000	"Orleans"	"8-"	"16"	2		233	16	251						
"LA"	2000	"Orleans"	"9-"	"31D"	2		385	10	400						
"LA"	2000	"Lafayette"	"0"	"89"	7		79	483	577	224		328			
"LA"	2000	"Lafayette"	"0"	"68"	7		223	149	402	216		267			
"LA"	2000	"St. Tammany"	"0"	"809"	1		282	408	707	156	450	621			
"LA"	2000	"Orleans"	"2-"	"4"	2		517	7	532						
"LA"	2000	"St. Martin"	"1-"	"3"	3		112	199	324		160	210			
"LA"	2000	"East Baton Rouge"	"2-"	"5A"	6		386	325	720	268	381	656			
"LA"	2000	"East Baton Rouge"	"3-"	"10B"	6		141	433	585	92	462	561			
"LA"	2000	"Union"	"8-"	"3"	5		88	469	580	65	357	441			
"LA"	2000	"St. Martin"	"1-"	"5"	3		133	256	408		224	270			
"LA"	2000	"Winn"	"1-"	"1"	5		254	12	277	114	59	189			
"LA"	2000	"East Feliciana"	"2-"	"1D"	6		80	157	241	55	164	221			
"LA"	2000	"St. Tammany"	"0"	"807"	1		243	953	1220	109	979	1098			
"LA"	2000	"Terrebonne"	"0"	"47"	3		107	255	378		225	260			
"LA"	2000	"Richland"	"1-"	"3"	5		70	83	157	53	50	108			
"LA"	2000	"St. Tammany"	"0"	"905"	1		337	689	1053	170	724	914			
"LA"	2000	"St. Bernard"	"0"	"42"	3		520	685	1231		952	1123			
"LA"	2000	"Natchitoches"	"1-"	"9"	4		79	326	414	26	252	294			
"LA"	2000	"Caddo"	"0"	"75"	4		191	856	1053	70	820	912			
"LA"	2000	"Lafayette"	"0"	"103"	7		275	643	940	446		572			
"LA"	2000	"Morehouse"	"0"	"24A"	5		62	23	91	43	29	75			
"LA"	2000	"Lincoln"	"1-"	"E2"	5		160	66	238	75	66	146			
"LA"	2000	"Concordia"	"1-"	"1"	5		582	11	632	223	87	324			
"LA"	2000	"Orleans"	"9-"	"33A"	2		358	18	377						
"LA"	2000	"Jefferson"	"0"	"247"	3		259	275	542		334	394			
"LA"	2000	"Assumption"	"9-"	"2"	3		193	212	420		240	285			
