state	year	precinct	g2010_DEL_dv	g2010_DEL_rv	g2010_DEL_tv	g2010_MAY_dv	g2010_MAY_rv	g2010_MAY_tv	g2010_COC_dv	g2010_COC_tv	g2010_SHADR_dv	g2010_SHADR_rv	g2010_SHADR_tv
"DC"	2010	27	972	125	1097	625	475	1100	861	1003	761	141	902
"DC"	2010	28	981	248	1229	685	520	1205	905	1105	816	285	1101
"DC"	2010	29	527	68	595	345	267	612	472	576	411	110	521
"DC"	2010	30	668	114	782	408	382	790	623	747	548	134	682
"DC"	2010	31	1048	185	1233	723	543	1266	979	1157	863	228	1091
"DC"	2010	32	1139	143	1282	735	579	1314	1011	1219	924	203	1127
"DC"	2010	33	1178	124	1302	720	610	1330	1052	1258	939	177	1116
"DC"	2010	34	1330	155	1485	950	532	1482	1199	1433	1120	205	1325
"DC"	2010	35	1172	53	1225	777	437	1214	1012	1225	994	76	1070
"DC"	2010	36	1107	74	1181	904	287	1191	1032	1196	941	107	1048
"DC"	2010	37	788	23	811	655	171	826	763	833	695	39	734
"DC"	2010	38	734	29	763	660	135	795	716	798	640	48	688
"DC"	2010	39	1111	64	1175	733	456	1189	930	1181	935	92	1027
"DC"	2010	40	1249	72	1321	877	452	1329	1072	1335	1053	98	1151
"DC"	2010	41	909	54	963	766	194	960	841	957	788	62	850
"DC"	2010	42	509	13	522	404	135	539	466	532	446	23	469
"DC"	2010	43	540	13	553	478	77	555	512	565	464	30	494
