state	year	county	town	ward	precinct	cd	sd	ld	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"MI"	2008	9	54	2	3	5		96	358	290	660	400	226	644	397	224	636
"MI"	2008	9	54	3	1	5		96	345	124	480	354	88	461	347	94	460
"MI"	2008	9	54	3	2	5		96	368	129	509	383	91	500	374	97	495
"MI"	2008	9	54	3	3	5		96	427	197	641	456	132	622	440	141	614
"MI"	2008	9	54	4	1	5		96	426	106	541	422	75	524	420	82	522
"MI"	2008	9	54	4	2	5		96	333	126	470	365	78	459	359	82	453
"MI"	2008	9	54	4	3	5		96	474	239	724	513	169	705	507	170	699
"MI"	2008	9	54	5	1	5		96	562	251	834	594	178	811	594	174	803
"MI"	2008	9	54	5	2	5		96	418	249	680	478	168	663	481	163	655
"MI"	2008	9	54	5	3	5		96	439	177	628	490	112	616	486	110	608
"MI"	2008	9	54	6	1	5		96	329	173	515	344	140	498	334	145	490
"MI"	2008	9	54	6	2	5		96	398	185	594	422	130	576	423	130	573
"MI"	2008	9	54	6	3	5		96	429	187	627	469	122	612	467	119	605
"MI"	2008	9	54	7	1	5		96	365	138	509	383	85	490	363	96	484
"MI"	2008	9	54	7	2	5		96	392	238	644	407	180	621	405	183	611
"MI"	2008	9	54	7	3	5		96	429	242	688	471	175	679	464	184	673
"MI"	2008	9	54	8	1	5		96	342	144	503	366	90	479	352	98	469
"MI"	2008	9	54	8	2	5		96	350	210	573	401	126	555	404	128	551
"MI"	2008	9	54	8	3	5		96	435	273	726	494	172	711	482	191	702
"MI"	2008	9	54	9	1	5		96	435	198	645	486	113	623	453	138	611
"MI"	2008	9	54	9	2	5		96	400	161	578	439	98	561	420	113	552
"MI"	2008	9	54	9	3	5		96	385	190	585	429	111	560	417	126	558
"MI"	2008	9	56	0	1	5		96	586	400	1004	663	277	967	654	275	957
"MI"	2008	9	56	0	2	5		96	647	400	1070	705	310	1051	710	290	1031
"MI"	2008	9	58	1	6	1		96	41	22	64	42	15	62	40	18	61
"MI"	2008	9	60	0	1	1		97	378	208	597	409	157	590	423	135	580
"MI"	2008	10	2	0	1	2		101	974	1051	2049	1005	916	1990	752	1121	1943
"MI"	2008	10	4	0	1	2		101	966	737	1722	969	658	1680	711	907	1664
"MI"	2008	10	6	0	1	2		101	176	180	364	182	152	349	132	208	347
"MI"	2008	10	8	0	1	2		101	163	155	326	176	131	318	132	170	311
"MI"	2008	10	10	0	1	2		101	379	315	704	399	277	692	290	380	684
"MI"	2008	10	12	0	1	2		101	341	155	500	337	136	486	252	213	475
"MI"	2008	10	14	0	1	2		101	621	536	1189	650	446	1155	449	617	1122
"MI"	2008	10	16	0	1	2		101	513	528	1064	535	461	1035	386	585	1008
"MI"	2008	10	18	0	1	2		101	239	183	433	240	160	419	174	218	411
"MI"	2008	10	20	0	1	2		101	303	349	662	328	316	658	230	408	648
"MI"	2008	10	22	0	1	2		101	127	96	226	133	75	224	108	102	219
"MI"	2008	10	24	0	1	2		101	156	129	296	160	117	288	107	168	284
"MI"	2008	10	52	0	1	2		101	493	273	774	483	256	753	329	406	750
"MI"	2008	11	2	0	1	6		79	209	438	654	215	404	633	143	488	641
"MI"	2008	11	2	0	2	6		79	310	488	813	335	446	803	209	583	813
