state	year	precinct	ward	cd	ld_name	ld_code	sd	mcd	mcd_code	vtd	fips	g2004_BALL_tv	g2004_USP_rv	g2004_USP_dv	g2004_USP_tv	g2004_USH_rv	g2004_USH_dv	g2004_USH_tv	g2004_STH_rv	g2004_STH_dv	g2004_STH_tv
"MN"	2004	"UNORG. PRCT. 15"		8	"05A"	9	5	"Sand Lake Unorganized"	393	970	58369	624	33	62	97	21	74	106	17	78	95
"MN"	2004	"UNORG. PRCT. 16"		8	"05A"	9	5	"Sand Lake Unorganized"	393	971	58369	97	33	62	97	21	74	95	17	78	95
"MN"	2004	"UNORG. PRCT. 8"		8	"05A"	9	5	"Sand Lake Unorganized"	393	973	58369	19	8	11	19	3	16	19	6	12	18
"MN"	2004	"VIRGINIA P- 1"		8	"05A"	9	5	"Virginia city"	440	1040	67288	1141	311	795	1141	179	882	1080	214	904	1118
"MN"	2004	"VIRGINIA P- 2"		8	"05A"	9	5	"Virginia city"	440	1045	67288	987	390	575	989	219	703	943	236	722	959
"MN"	2004	"VIRGINIA P- 3"		8	"05A"	9	5	"Virginia city"	440	1050	67288	874	236	614	878	135	646	799	165	672	840
"MN"	2004	"VIRGINIA P- 4"		8	"05A"	9	5	"Virginia city"	440	1055	67288	919	302	607	919	165	701	879	209	689	900
"MN"	2004	"VIRGINIA P- 5"		8	"05A"	9	5	"Virginia city"	440	1060	67288	1100	356	719	1097	205	829	1052	254	819	1074
"MN"	2004	"WHITE TWP. P-1"		8	"05A"	9	5	"Aurora city - White TWP"	450	1130	69898	1014	274	720	1003	170	787	969	221	763	987
"MN"	2004	"WHITE TWP. P-2"		8	"05A"	9	5	"Aurora city - White TWP"	450	1135	69898	493	163	289	487	118	329	455	142	318	462
"MN"	2004	"WHITE TWP. P-3"		8	"05A"	9	5	"Aurora city - White TWP"	450	1136	69898	483	171	299	485	84	378	465	115	354	470
"MN"	2004	"UNORG. PRCT. 3"		8	"05B"	10	5	"Whiteface Resevoir Unorganized"	452	31	37384	33	14	17	33	13	20	33	12	20	32
"MN"	2004	"UNORG. PRCT. 2"		8	"05B"	10	5	"Whiteface Resevoir Unorganized"	452	857	37384	203	78	125	203	50	142	199	61	130	197
"MN"	2004	"UNORG. PRCT 23"		8	"06A"	11	6	"Whiteface Resevoir Unorganized"	452	1005	37384	34	14	19	35	8	24	32	11	22	33
"MN"	2004	"AVON TWP"		6	"14B"	28	14	"Avon township"	20	25	3088	1269	776	454	1280	784	469	1254	643	575	1218
"MN"	2004	"COLLEGEVILLE TWP P1"		6	"14B"	28	14	"Collegeville township"	45	50	12592	1202	687	486	1195	642	540	1183	568	603	1171
"MN"	2004	"COLLEGEVILLE TWP P2"		6	"14B"	28	14	"Collegeville township"	45	55	12592	1097	436	622	1124	511	551	1063	283	742	1027
"MN"	2004	"FAIR HAVEN TWP"		6	"14B"	28	14	"Fair Haven township"	75	85	20294	831	456	357	838	445	370	816	370	425	796
"MN"	2004	"PAYNESVILLE"		6	"14B"	28	14	"Paynesville city"	184	210	49966	1346	766	540	1356	791	525	1316	597	689	1286
"MN"	2004	"PAYNESVILLE TWP"		6	"14B"	28	14	"Paynesville township"	185	215	49984	909	572	310	905	549	337	886	493	376	869
"MN"	2004	"ST AUGUSTA"		6	"15A"	29	15	"St. Augusta City"	225	255	56724	1602	1073	491	1613	1047	526	1573	1146	398	1545
"MN"	2004	"ST WENDEL TWP P-1"		6	"14B"	28	14	"St. Wendel township"	260	410	58198	523	275	237	532	287	233	520	215	296	511
"MN"	2004	"ST WENDEL TWP P-2"		6	"14A"	27	14	"St. Wendel township"	260	411	58198	813	491	314	815	465	344	809	463	317	780
