state	year	precinct_code	precinct	g2008_REG_tv	g2008_USP_tv	g2008_USP_dv	g2008_USP_rv	g2008_USS_tv	g2008_USS_dv	g2008_USS_rv	g2008_USH_tv	g2008_USH_dv	g2008_USH_rv	g2008_STS_tv	g2008_STS_dv	g2008_STS_rv	g2008_STH_tv	g2008_STH_dv	g2008_STH_rv
"AK"	2008	"17-215"	"17-215 Eagle River No. 1"	1186	514	138	371	511	219	274	505	177	313	499	112	386	495	82	409
"AK"	2008	"17-220"	"17-220 Eagle River No. 2"	3063	1220	351	846	1204	538	605	1204	495	664	1173	306	866	1175	205	965
"AK"	2008	"17-225"	"17-225 Meadow Creek No. 1"	1351	674	185	476	673	250	381	669	227	418	656	158	497	658	122	533
"AK"	2008	"17-230"	"17-230 Meadow Creek No. 2"	1865	975	246	716	965	345	587	963	343	590	928	205	722	937	142	788
"AK"	2008	"18-000"	"District 18 - Absentee"	12503	2562	876	1644	2358	1074	1037	2342	837	1340	2169	674	1490	1906		1848
"AK"	2008	"18-000"	"District 18 - Early Voting"	12503	222	123	95	218	134	69	220	133	79	209	113	95	163		151
"AK"	2008	"18-000"	"District 18 - Question"	12503	562	215	341	334	184	134	327	152	164	81	24	57	30		30
"AK"	2008	"18-235"	"18-235 Elmendorf"	5701	1340	329	990	1303	723	461	1312	527	712	1241	327	907	1175		1150
"AK"	2008	"18-240"	"18-240 Fire Lake"	1704	793	154	625	788	265	479	781	263	498	765	153	609	708		696
"AK"	2008	"18-245"	"18-245 Fort Richardson"	3466	411	123	281	401	235	137	399	194	183	375	127	247	335		329
"AK"	2008	"18-250"	"18-250 Government Hill No. 2"	915	318	146	160	312	180	114	316	165	137	294	144	149	238		231
"AK"	2008	"18-255"	"18-255 North Muldoon"	717	203	80	116	204	99	95	202	93	97	192	76	115	172		162
"AK"	2008	"19-000"	"District 19 - Absentee"	11623	1446	706	717	1387	803	522	1382	753	567				1203	611	590
"AK"	2008	"19-000"	"District 19 - Early Voting"	11623	572	379	189	568	392	162	562	393	161				557	376	179
"AK"	2008	"19-000"	"District 19 - Question"	11623	541	229	299	451	255	172	448	231	199				92	46	44
"AK"	2008	"19-300"	"19-300 Cheney Lake"	1074	582	192	368	583	259	292	579	250	303				571	274	295
"AK"	2008	"19-305"	"19-305 Creekside Park"	2028	813	302	496	809	364	396	804	365	408				792	376	414
"AK"	2008	"19-310"	"19-310 Muldoon No. 1"	1621	627	237	380	627	306	291	625	286	310				608	299	309
"AK"	2008	"19-315"	"19-315 Muldoon No. 2"	1397	513	212	286	511	264	226	510	250	246				503	273	229
"AK"	2008	"19-320"	"19-320 Muldoon No. 3"	2060	890	304	557	883	413	418	878	376	458				859	446	405
"AK"	2008	"19-325"	"19-325 Muldoon No. 4"	1384	566	190	368	564	242	303	565	226	310				554	232	321
"AK"	2008	"19-330"	"19-330 Nunaka Valley"	2059	822	344	446	812	431	352	809	408	376				799	443	355
"AK"	2008	"20-000"	"District 20 - Absentee"	10114	1036	554	457	986	609	328	990	548	384				764	619	
"AK"	2008	"20-000"	"District 20 - Early Voting"	10114	315	213	92	314	216	89	310	209	82				301	249	
"AK"	2008	"20-000"	"District 20 - Question"	10114	490	258	220	398	241	131	397	209	158				86	70	
"AK"	2008	"20-335"	"20-335 Northeast Anchorage"	2828	906	372	514	903	480	381	897	435	413				818	613	
"AK"	2008	"20-340"	"20-340 North Mtn View No. 1"	1765	541	271	254	537	290	222	536	277	226				520	436	
"AK"	2008	"20-345"	"20-345 North Mtn View No. 2"	2017	529	244	270	523	289	208	518	252	236				492	382	
"AK"	2008	"20-350"	"20-350 South Mtn View No. 1"	1762	639	282	346	637	335	284	634	331	288				613	499	
"AK"	2008	"20-355"	"20-355 Wonder Park"	1742	682	280	383	679	354	299	679	333	325				634	493	
"AK"	2008	"21-000"	"District 21 - Absentee"	12537	1830	885	902	1756	979	694	1750	916	756	1592	846	738	1580	912	661
"AK"	2008	"21-000"	"District 21 - Early Voting"	12537	848	511	325	843	541	283	845	540	296	833	543	290	834	602	232
"AK"	2008	"21-000"	"District 21 - Question"	12537	460	177	273	397	196	173	391	176	196	107	59	48	84	49	35
"AK"	2008	"21-400"	"21-400 Baxter"	2530	1135	473	636	1130	575	511	1126	559	541	1107	564	542	1100	651	448
"AK"	2008	"21-405"	"21-405 Chester Valley"	2541	1113	376	722	1108	480	590	1103	457	607	1094	511	581	1087	585	500
"AK"	2008	"21-410"	"21-410 Chugach Foot Hills No. 1"	1325	551	210	330	552	272	259	549	243	290	542	299	243	537	313	224
"AK"	2008	"21-415"	"21-415 Chugach Foot Hills No. 2"	2019	858	344	490	853	448	379	852	416	416	837	478	358	846	512	333
"AK"	2008	"21-420"	"21-420 Reflection Lake"	2812	1180	445	703	1176	583	539	1169	541	581	1152	582	566	1146	659	484
"AK"	2008	"21-425"	"21-425 Scenic Park"	1310	700	226	456	691	283	389	684	274	385	675	318	357	682	367	315
"AK"	2008	"22-000"	"District 22 - Absentee"	11076	1384	779	562	1331	828	431	1329	782	476	1108	703	399	1100	652	440
"AK"	2008	"22-000"	"District 22 - Early Voting"	11076	575	396	169	570	412	139	569	409	148	556	423	131	558	413	143
"AK"	2008	"22-000"	"District 22 - Question"	11076	522	268	239	442	263	164	434	229	179	83	47	36	58	39	19
"AK"	2008	"22-430"	"22-430 Airport Heights No. 1"	1488	579	265	302	576	300	248	576	291	258	563	356	205	564	356	205
"AK"	2008	"22-435"	"22-435 Airport Heights No. 2"	1551	761	399	340	759	469	265	753	441	292	740	502	238	744	502	241
"AK"	2008	"22-440"	"22-440 College Gate"	1621	806	319	463	801	399	379	802	401	378	788	412	375	788	424	362
"AK"	2008	"22-445"	"22-445 East Anchorage"	1781	536	234	290	534	316	203	529	266	242	519	308	210	514	286	225
"AK"	2008	"22-450"	"22-450 Russian Jack"	1202	494	211	268	489	253	209	486	224	241	475	259	215	476	251	225
"AK"	2008	"22-455"	"22-455 South Mtn View No. 2"	814	242	120	117	241	145	86	241	128	95	236	150	85	236	144	91
"AK"	2008	"22-460"	"22-460 University No 1"	889	247	145	88	238	144	74	238	142	87	229	160	69	231	158	73
"AK"	2008	"22-465"	"22-465 University No 2"	1730	488	201	271	488	254	206	483	249	208	474	269	205	474	256	218
"AK"	2008	"23-000"	"District 23 - Absentee"	11694	1833	1171	615	1774	1173	532	1764	1196	507				1286	1203	
"AK"	2008	"23-000"	"District 23 - Early Voting"	11694	821	557	251	819	559	238	812	594	205				688	652	
"AK"	2008	"23-000"	"District 23 - Question"	11694	491	250	234	424	251	150	416	227	162				59	57	
"AK"	2008	"23-500"	"23-500 Downtown Anchorage No. 1"	924	319	180	127	319	187	121	318	204	100				266	251	
"AK"	2008	"23-505"	"23-505 Downtown Anchorage No. 2"	896	213	111	89	212	112	81	212	122	74				152	142	
"AK"	2008	"23-510"	"23-510 Downtown Anchorage No. 3"	914	417	228	174	417	243	164	410	267	137				339	319	
"AK"	2008	"23-515"	"23-515 Downtown Anchorage No. 4"	1848	569	321	227	568	355	191	566	353	186				478	438	
"AK"	2008	"23-520"	"23-520 Fairview"	1835	470	259	194	464	285	159	461	271	171				396	372	
"AK"	2008	"23-525"	"23-525 Fireweed"	753	210	100	102	206	124	71	205	114	78				163	152	
"AK"	2008	"23-530"	"23-530 Government Hill No. 1"	369	185	98	79	183	105	71	183	107	73				151	142	
"AK"	2008	"23-535"	"23-535 Merrill Field"	1856	603	310	272	594	352	209	586	351	211				495	477	
"AK"	2008	"23-540"	"23-540 Rogers Park"	2299	951	490	444	950	520	411	946	552	370				791	747	
"AK"	2008	"24-000"	"District 24 - Absentee"	12406	1514	778	695	1456	818	565	1450	795	600				1202	758	438
"AK"	2008	"24-000"	"District 24 - Early Voting"	12406	714	446	252	708	431	251	706	459	228				690	496	193
"AK"	2008	"24-000"	"District 24 - Question"	12406	676	297	361	574	325	218	572	269	276				85	49	35
"AK"	2008	"24-545"	"24-545 East Dowling"	574	198	77	113	198	105	78	198	95	93				189	109	80
"AK"	2008	"24-550"	"24-550 Far North Bicentennial"	2599	779	299	461	773	384	348	766	374	359				735	437	297
"AK"	2008	"24-555"	"24-555 Midtown No. 1"	1415	472	160	301	470	218	225	469	199	246				451	233	217
"AK"	2008	"24-560"	"24-560 Midtown No. 2"	1545	763	338	412	759	347	393	761	370	376				736	464	269
"AK"	2008	"24-565"	"24-565 Midtown No. 3"	1429	655	260	385	657	289	350	653	300	337				637	382	251
"AK"	2008	"24-570"	"24-570 Taku"	1774	732	257	456	727	339	363	723	300	397				700	364	328
"AK"	2008	"24-575"	"24-575 Tudor"	3070	1185	468	691	1179	601	532	1174	567	570				1154	700	452
"AK"	2008	"25-000"	"District 25 - Absentee"	10894	1285	768	483	1234	758	423	1228	774	395	830	766		1010	750	249
"AK"	2008	"25-000"	"District 25 - Early Voting"	10894	572	367	195	570	374	182	569	380	173	457	420		550	410	138
"AK"	2008	"25-000"	"District 25 - Question"	10894	556	256	290	482	253	200	476	227	219	86	80		63	40	23
"AK"	2008	"25-600"	"25-600 Arctic"	534	230	83	143	229	105	115	229	97	120	167	148		222	147	74
"AK"	2008	"25-605"	"25-605 Conners Lake"	628	353	136	208	346	160	178	352	170	165	246	222		340	228	111
"AK"	2008	"25-610"	"25-610 Northwood"	1539	619	236	362	618	275	298	618	278	312	463	420		592	387	204
"AK"	2008	"25-615"	"25-615 Spenard No. 1"	1900	653	363	267	651	381	244	648	392	228	484	433		619	438	170
"AK"	2008	"25-620"	"25-620 Spenard No. 2"	1675	474	217	239	469	258	186	468	248	197	369	324		454	308	141
"AK"	2008	"25-625"	"25-625 Spenard No. 3"	1134	304	138	161	304	175	112	304	167	127	221	206		288	185	102
"AK"	2008	"25-630"	"25-630 Westchester No. 1"	746	318	185	120	315	193	113	313	193	114	236	228		300	230	69
"AK"	2008	"25-635"	"25-635 Willowcrest No. 1"	1343	612	274	330	609	311	277	608	315	269	437	401		588	420	165
"AK"	2008	"25-640"	"25-640 Willowcrest No. 2"	1395	467	210	244	464	247	195	463	237	208	355	324		444	288	155
"AK"	2008	"26-000"	"District 26 - Absentee"	12322	1763	1024	702	1727	1024	646	1729	1079	593	1227	1117		1225	1146	
"AK"	2008	"26-000"	"District 26 - Early Voting"	12322	849	565	272	848	541	288	843	574	249	682	637		683	650	
"AK"	2008	"26-000"	"District 26 - Question"	12322	475	214	250	396	218	159	391	192	181	89	82		52	47	
"AK"	2008	"26-645"	"26-645 Inlet View No. 1"	1686	798	413	370	793	394	379	793	442	334	593	520		592	549	
"AK"	2008	"26-650"	"26-650 Inlet View No. 2"	1080	606	314	278	606	303	288	603	328	264	434	389		459	429	
"AK"	2008	"26-655"	"26-655 Lake Hood"	1770	838	376	442	832	446	366	837	446	369	637	571		646	607	
"AK"	2008	"26-660"	"26-660 Lake Spenard"	1658	680	268	400	673	312	334	671	309	336	478	429		489	448	
"AK"	2008	"26-665"	"26-665 Turnagain No. 1"	2068	949	399	531	946	495	419	939	498	415	719	646		737	691	
"AK"	2008	"26-670"	"26-670 Turnagain No. 2"	1223	505	233	264	503	260	222	501	250	233	388	338		389	354	
"AK"	2008	"26-675"	"26-675 Turnagain No. 3"	743	274	148	117	275	153	113	274	164	103	214	193		210	198	
"AK"	2008	"26-680"	"26-680 Turnagain No. 4"	891	382	160	208	380	177	190	380	194	173	267	241		268	252	
"AK"	2008	"26-685"	"26-685 Westchester No. 2"	1203	576	358	203	574	321	238	576	371	191	449	417		457	435	
"AK"	2008	"27-000"	"District 27 - Absentee"	12271	1469	633	810	1421	675	695	1427	668	694				1268	628	633
"AK"	2008	"27-000"	"District 27 - Early Voting"	12271	699	376	307	699	394	286	696	414	263				684	424	258
"AK"	2008	"27-000"	"District 27 - Question"	12271	492	170	311	427	209	198	426	172	226				95	53	42
"AK"	2008	"27-700"	"27-700 Dimond No. 1"	2162	920	278	616	913	391	476	909	383	491				885	435	446
"AK"	2008	"27-705"	"27-705 Jewel Lake No 1"	1394	621	230	376	617	308	277	618	310	287				598	333	263
"AK"	2008	"27-710"	"27-710 Kincaid"	3229	1590	502	1057	1580	570	950	1579	615	903				1547	662	881
"AK"	2008	"27-715"	"27-715 Sand Lake No. 1"	2010	1031	379	611	1030	459	521	1025	469	512				1006	540	463
"AK"	2008	"27-720"	"27-720 Sand Lake No. 2"	1827	860	301	536	853	381	437	857	369	455				842	431	408
"AK"	2008	"27-725"	"27-725 Sand Lake No. 3"	1649	816	261	535	816	351	434	812	350	439				792	400	390
"AK"	2008	"28-000"	"District 28 - Absentee"	13520	1859	820	1009	1798	853	864	1788	868	845				1618	764	846
"AK"	2008	"28-000"	"District 28 - Early Voting"	13520	989	544	433	986	563	390	978	590	368				970	572	395
"AK"	2008	"28-000"	"District 28 - Question"	13520	403	122	277	328	164	146	323	132	172				82	32	50
"AK"	2008	"28-730"	"28-730 Bayshore"	2553	1213	416	775	1211	505	667	1204	489	682				1183	502	678
"AK"	2008	"28-735"	"28-735 Campbell Lake"	2251	1169	402	734	1167	475	639	1154	484	631				1139	498	634
"AK"	2008	"28-740"	"28-740 Jewel Lake No. 2"	1612	680	238	423	675	298	335	673	294	351				642	289	348
"AK"	2008	"28-745"	"28-745 Klatt No. 1"	2569	1271	371	879	1265	463	757	1257	452	762				1241	451	786
"AK"	2008	"28-750"	"28-750 Oceanview No. 1"	1898	1062	361	682	1055	392	621	1059	427	601				1034	417	613
"AK"	2008	"28-755"	"28-755 Southport"	2637	1146	368	741	1141	473	619	1136	454	633				1118	466	652
"AK"	2008	"29-000"	"District 29 - Absentee"	11263	1244	518	704	1200	586	557	1192	562	559	991	343	642	969	462	498
"AK"	2008	"29-000"	"District 29 - Early Voting"	11263	583	323	250	580	351	219	575	352	203	553	280	273	555	350	204
"AK"	2008	"29-000"	"District 29 - Question"	11263	545	198	336	459	215	222	460	180	256	115	43	71	91	47	44
"AK"	2008	"29-800"	"29-800 Campbell Creek No. 1"	1796	785	315	451	779	368	381	779	359	379	743	253	485	749	424	321
"AK"	2008	"29-805"	"29-805 Campbell Creek No. 2"	1433	738	254	471	735	339	371	733	314	398	706	203	502	720	352	366
"AK"	2008	"29-810"	"29-810 Campbell Creek No. 3"	936	322	129	190	321	152	158	321	155	159	315	105	209	310	169	137
"AK"	2008	"29-815"	"29-815 Dimond No. 2"	1304	558	177	367	555	242	286	556	217	311	525	183	338	529	271	251
"AK"	2008	"29-820"	"29-820 Dimond No. 3"	1315	450	165	268	443	216	212	437	195	213	419	144	270	423	205	216
"AK"	2008	"29-825"	"29-825 Independence Park No. 1"	1937	800	269	510	790	371	383	792	334	428	754	212	534	746	360	382
"AK"	2008	"29-830"	"29-830 Independence Park No. 2"	2542	937	336	580	927	438	449	928	396	495	900	288	610	896	436	457
"AK"	2008	"30-000"	"District 30 - Absentee"	12761	1524	683	803	1487	755	668	1468	707	713	1325	463	860	1314	618	686
"AK"	2008	"30-000"	"District 30 - Early Voting"	12761	902	507	385	894	555	311	892	549	319	876	405	469	883	514	366
"AK"	2008	"30-000"	"District 30 - Question"	12761	587	208	363	507	236	250	495	203	264	156	43	112	117	44	73
"AK"	2008	"30-835"	"30-835 Abbott Loop No. 1"	2456	1187	395	762	1182	544	596	1178	513	630	1137	271	864	1140	501	638
"AK"	2008	"30-840"	"30-840 Abbott Loop No. 2"	2732	1284	464	798	1280	563	669	1278	551	698	1262	271	989	1256	493	760
"AK"	2008	"30-845"	"30-845 Abbott Loop No. 3"	809	420	143	266	417	175	234	418	167	243	412	94	317	414	154	259
"AK"	2008	"30-850"	"30-850 Abbott Loop No. 4"	1290	671	220	436	671	259	393	669	256	402	638	151	484	660	242	418
"AK"	2008	"30-855"	"30-855 Laurel/Dowling"	2045	944	326	603	937	424	478	933	389	506	907	234	672	910	400	508
"AK"	2008	"30-860"	"30-860 Lore No. 1"	1727	934	295	617	930	409	482	930	383	519	907	224	680	910	359	549
"AK"	2008	"30-865"	"30-865 Lore No. 2"	1702	730	245	467	719	295	386	716	306	391	694	201	493	697	280	414
"AK"	2008	"31-000"	"District 31 - Absentee"	13765	1834	738	1050	1796	802	909	1776	815	888				1583	460	1066
"AK"	2008	"31-000"	"District 31 - Early Voting"	13765	1085	533	537	1081	549	498	1079	573	473				1047	379	621
"AK"	2008	"31-000"	"District 31 - Question"	13765	372	111	250	314	130	162	306	113	174				67	16	48
"AK"	2008	"31-900"	"31-900 Huffman No. 1"	1469	604	209	377	598	260	307	598	241	329				569	166	380
"AK"	2008	"31-905"	"31-905 Huffman No. 2"	2365	1192	346	831	1187	441	715	1188	421	735				1164	241	898
"AK"	2008	"31-910"	"31-910 Huffman No. 3"	1737	907	280	612	899	369	499	900	373	496				878	214	624
"AK"	2008	"31-915"	"31-915 Huffman No. 4"	1295	642	202	429	634	246	364	633	254	362				617	136	461
"AK"	2008	"31-920"	"31-920 Huffman No. 5"	1918	940	262	659	932	347	556	932	335	571				904	162	718
"AK"	2008	"31-925"	"31-925 Huffman No. 6"	925	468	125	335	463	156	292	462	160	291				446	82	354
"AK"	2008	"31-930"	"31-930 Huffman No. 7"	2252	1226	439	768	1224	522	665	1218	520	670				1182	309	828
"AK"	2008	"31-935"	"31-935 Huffman No. 8"	1804	950	351	571	942	399	513	947	419	513				903	230	644
"AK"	2008	"32-000"	"District 32 - Absentee"	16296	3082	1433	1588	3013	1506	1397	3000	1506	1384				2759	1033	1709
"AK"	2008	"32-000"	"District 32 - Early Voting"	16296	1111	614	476	1100	624	451	1098	660	412				1079	480	594
"AK"	2008	"32-000"	"District 32 - Question"	16296	380	118	253	313	145	159	308	129	166				53	13	40
"AK"	2008	"32-940"	"32-940 Bear Valley"	1064	515	225	277	511	257	240	513	269	228				503	217	285
"AK"	2008	"32-945"	"32-945 Centennial Park"	305	145	70	72	145	96	49	145	92	48				141	78	63
"AK"	2008	"32-950"	"32-950 Chugach Park No. 1"	2953	1356	427	897	1341	518	776	1337	508	785				1285	361	916
"AK"	2008	"32-955"	"32-955 Chugach Park No. 2"	1634	823	326	489	820	329	471	816	368	429				798	234	561
"AK"	2008	"32-960"	"32-960 Girdwood"	1827	894	614	253	896	553	307	891	606	245				867	482	382
"AK"	2008	"32-965"	"32-965 Golden View"	2437	1203	428	751	1198	504	662	1195	502	665				1170	349	816
"AK"	2008	"32-970"	"32-970 Hiland"	2571	1029	268	744	1022	391	589	1018	382	609				995	247	742
"AK"	2008	"32-975"	"32-975 Hope"	172	80	44	32	82	51	26	81	54	25				82	37	44
"AK"	2008	"32-980"	"32-980 Indian"	265	151	76	70	148	63	72	149	76	67				145	64	81
"AK"	2008	"32-985"	"32-985 Rabbit Creek"	2381	1203	398	773	1201	465	676	1194	490	668				1164	387	774
"AK"	2008	"32-990"	"32-990 Stuckagain Heights"	400	228	103	122	225	102	120	228	121	103				224	80	142
"AK"	2008	"32-995"	"32-995 Whittier"	287	107	32	70	107	48	55	106	38	59				102	28	74
"AK"	2008	"33-000"	"District 33 - Absentee"	13462	3031	923	2029	2937	1305	1373	2926	1264	1487	2839	1229	1605	2731	712	1692
"AK"	2008	"33-000"	"District 33 - Early Voting"	13462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AK"	2008	"33-000"	"District 33 - Question"	13462	481	83	386	367	117	192	364	97	230	280	106	174	160	23	109
"AK"	2008	"33-700"	"33-700 Central"	3178	1223	227	969	1216	412	679	1214	372	752	1197	503	690	1185	200	834
"AK"	2008	"33-710"	"33-710 Kenai No. 1"	2543	1059	222	788	1046	392	530	1041	371	607	1033	382	650	1026	173	709
"AK"	2008	"33-720"	"33-720 Kenai No. 2"	1367	580	120	445	575	180	323	573	195	350	568	195	368	558	88	390
"AK"	2008	"33-730"	"33-730 Kenai No. 3"	1250	501	107	380	497	184	265	497	180	296	489	194	294	490	87	343
"AK"	2008	"33-740"	"33-740 K-Beach"	2017	864	149	693	861	271	513	857	254	565	850	302	545	836	113	614
"AK"	2008	"33-750"	"33-750 Soldotna"	3107	1170	258	881	1163	460	618	1157	425	680	1149	539	606	1136	237	770
"AK"	2008	"34-000"	"District 34 - Absentee"	13753	3466	797	2575	3382	1201	1824	3363	1171	1934	3265	1142	2110	3180	883	2289
"AK"	2008	"34-000"	"District 34 - Early Voting"	13753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AK"	2008	"34-000"	"District 34 - Question"	13753	375	65	304	278	82	148	279	62	187	202	77	124	126	25	100
"AK"	2008	"34-810"	"34-810 Funny River"	1638	568	93	456	564	177	336	565	164	359	560	215	344	552	145	406
"AK"	2008	"34-820"	"34-820 Kasilof"	1739	855	254	567	847	354	393	846	332	440	837	387	445	826	298	521
"AK"	2008	"34-830"	"34-830 Mackey Lake"	1629	633	101	518	623	194	372	626	181	411	617	224	392	611	136	474
"AK"	2008	"34-840"	"34-840 Nikiski"	1761	853	143	675	847	225	427	846	237	529	837	301	533	828	206	621
"AK"	2008	"34-850"	"34-850 Ninilchik"	1527	543	136	393	542	234	268	539	202	296	526	176	349	525	164	359
"AK"	2008	"34-870"	"34-870 Salamatoff"	1946	906	140	740	901	250	491	899	250	563	889	321	563	885	180	702
"AK"	2008	"34-880"	"34-880 Sterling"	3513	1349	191	1130	1341	390	818	1338	357	904	1325	465	853	1314	371	940
"AK"	2008	"35-000"	"District 35 - Absentee"	13776	3566	1920	1557	3478	2080	1249	3456	2033	1240				3284	1228	2049
"AK"	2008	"35-000"	"District 35 - Early Voting"	13776	2	2	0	2	2	0	2	2	0				1	1	0
"AK"	2008	"35-000"	"District 35 - Question"	13776	506	189	300	387	186	174	383	167	190				178	56	122
"AK"	2008	"35-010"	"35-010 Homer No. 1"	2231	908	412	475	897	493	355	894	448	408				886	327	558
"AK"	2008	"35-020"	"35-020 Homer No. 2"	2101	752	272	463	744	355	358	744	343	377				741	222	515
"AK"	2008	"35-030"	"35-030 Anchor Point"	1398	644	146	478	634	247	356	637	206	394				624	118	505
"AK"	2008	"35-040"	"35-040 Bear Creek"	1567	652	232	392	643	302	305	647	298	314				619	163	454
"AK"	2008	"35-050"	"35-050 Cooper Landing"	403	157	68	85	156	75	73	157	69	78				141	36	104
"AK"	2008	"35-060"	"35-060 Diamond Ridge"	963	395	201	177	394	241	138	392	231	147				382	149	233
"AK"	2008	"35-070"	"35-070 Kachemak Bay"	825	231	90	136	227	100	121	229	98	121				229	59	170
"AK"	2008	"35-080"	"35-080 Kachemak City/Fritz Creek"	1588	721	347	342	715	408	270	712	405	285				706	239	467
"AK"	2008	"35-090"	"35-090 Moose Pass"	338	141	54	86	140	64	65	140	67	68				140	43	97
"AK"	2008	"35-095"	"35-095 Seldovia"	398	178	79	88	178	94	77	179	96	72				172	61	111
"AK"	2008	"35-098"	"35-098 Seward"	1964	650	242	380	647	332	277	645	316	300				629	184	442
"AK"	2008	"36-000"	"District 36 - Absentee"	10480	1920	685	1173	1812	812	792	1818	744	967				1721	709	995
"AK"	2008	"36-000"	"District 36 - Early Voting"	10480	2	2	0	2	2	0	2	2	0				2	2	0
"AK"	2008	"36-000"	"District 36 - Question"	10480	579	188	373	435	206	196	438	160	247				348	151	196
"AK"	2008	"36-605"	"36-605 Chiniak"	128	59	19	36	59	33	20	59	27	23				58	32	26
"AK"	2008	"36-608"	"36-608 Flats"	2077	621	193	409	605	320	250	601	255	319				589	253	336
"AK"	2008	"36-615"	"36-615 Kodiak Island South"	208	36	4	31	36	20	13	37	10	21				35	4	31
"AK"	2008	"36-618"	"36-618 Kodiak No. 1"	1937	817	275	516	800	415	349	801	375	404				781	388	383
"AK"	2008	"36-620"	"36-620 Kodiak No. 2"	1861	832	288	521	816	442	334	815	362	409				803	401	401
"AK"	2008	"36-622"	"36-622 Mission Road"	3047	1361	431	891	1346	699	575	1352	609	695				1333	661	663
"AK"	2008	"36-625"	"36-625 Old Harbor"	148	64	26	35	65	40	23	65	33	29				62	29	33
"AK"	2008	"36-635"	"36-635 Ouzinkie"	134	58	35	21	60	33	23	60	30	28				58	19	39
"AK"	2008	"36-645"	"36-645 Port Lions"	221	76	18	56	76	40	31	76	36	38				75	24	51
"AK"	2008	"36-655"	"36-655 Iliamna/Newhalen"	208	105	41	62	105	68	35	105	49	50				95	50	45
"AK"	2008	"36-665"	"36-665 Kokhanok/Igiugig"	138	56	16	37	55	29	24	56	19	33				51	29	22
"AK"	2008	"36-676"	"36-676 Levelock"	44	14	5	6	14	5	8	14	5	9				12	7	5
"AK"	2008	"36-685"	"36-685 Nondalton"	268	55	35	20	55	35	19	55	22	29				51	40	11
"AK"	2008	"36-696"	"36-696 Pedro Bay"	61	18	3	14	18	9	9	17	3	13				14	6	8
"AK"	2008	"37-000"	"District 37 - Absentee"	8041	1021	448	555	959	484	420	953	423	466				860	521	335
"AK"	2008	"37-000"	"District 37 - Early Voting"	8041	0	0	0	0	0	0	0	0	0				0	0	0
"AK"	2008	"37-000"	"District 37 - Question"	8041	178	61	113	124	49	69	123	45	71				53	30	23
"AK"	2008	"37-700"	"37-700 Akutan"	344	132	56	70	131	45	75	126	45	60				124	66	54
"AK"	2008	"37-702"	"37-702 Aleknagik"	147	44	22	21	47	33	12	48	31	15				48	32	16
"AK"	2008	"37-704"	"37-704 Aleutians #1"	255	29	21	7	29	14	15	28	13	11				23	12	11
"AK"	2008	"37-706"	"37-706 Aleutians #2"	1724	825	391	403	813	460	296	810	399	354				789	448	338
"AK"	2008	"37-708"	"37-708 Chigniks"	257	19	4	15	19	9	10	19	8	11				19	4	14
"AK"	2008	"37-710"	"37-710 Clarks Point"	48	22	8	14	22	7	15	22	8	14				22	13	9
"AK"	2008	"37-712"	"37-712 Cold Bay"	137	33	9	22	33	12	20	31	10	19				31	12	19
"AK"	2008	"37-714"	"37-714 Dillingham"	1605	797	366	411	789	428	338	792	394	358				786	608	177
"AK"	2008	"37-716"	"37-716 Egegik/Pilot Point"	131	18	0	15	18	6	11	18	4	11				16	5	11
"AK"	2008	"37-718"	"37-718 Ekwok"	80	41	12	29	41	19	22	41	14	25				41	29	12
"AK"	2008	"37-720"	"37-720 King Cove"	331	149	35	108	146	48	94	147	24	115				136	60	76
"AK"	2008	"37-722"	"37-722 King Salmon"	419	172	38	128	172	52	116	171	48	114				171	79	91
"AK"	2008	"37-724"	"37-724 Koliganek"	104	60	16	43	60	39	21	60	35	24				58	38	20
"AK"	2008	"37-726"	"37-726 Manokotak"	232	115	25	85	115	71	42	115	38	70				114	78	36
"AK"	2008	"37-728"	"37-728 Naknek"	400	193	59	127	194	77	109	193	68	116				191	117	74
"AK"	2008	"37-730"	"37-730 New Stuyahok"	297	169	110	49	172	120	43	171	79	78				169	128	41
"AK"	2008	"37-732"	"37-732 Port Heiden"	70	41	12	29	40	22	18	39	11	26				39	26	13
"AK"	2008	"37-734"	"37-734 Sand Point"	482	188	48	134	187	61	119	185	43	133				183	92	91
"AK"	2008	"37-736"	"37-736 South Naknek"	66	24	5	19	24	10	14	23	8	15				23	11	12
"AK"	2008	"37-738"	"37-738 St. George Island"	81	37	18	19	38	14	24	38	14	24				38	21	17
"AK"	2008	"37-740"	"37-740 St. Paul Island"	324	133	43	85	132	49	78	133	36	96				133	88	45
"AK"	2008	"37-742"	"37-742 Togiak"	507	225	61	160	227	124	95	230	78	140				225	149	76
"AK"	2008	"38-000"	"District 38 - Absentee"	8417	465	288	162	453	307	128	449	274	147				357	320	
"AK"	2008	"38-000"	"District 38 - Early Voting"	8417	0	0	0	0	0	0	0	0	0				0	0	
"AK"	2008	"38-000"	"District 38 - Question"	8417	383	198	170	298	175	113	297	138	146				188	181	
"AK"	2008	"38-800"	"38-800 Akiachak"	284	144	82	55	145	111	26	141	87	43				129	128	
"AK"	2008	"38-802"	"38-802 Akiak"	172	103	74	25	105	86	18	105	64	31				101	101	
"AK"	2008	"38-804"	"38-804 Atmautluak"	130	69	37	26	69	47	18	69	39	24				67	66	
