state	year	county_code	county	precinct_code	precinct	cd	sd	ld	g2008_REG_dv	g2008_REG_rv	g2008_REG_ov	g2008_REG_mv	g2008_REG_fv	g2008_REG_tv	g2008_USP_dv	g2008_USS_rv	g2008_USS_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_tv
"KY"	2008	85	"METCALFE"	"B99"	"MAGIS.DIST. TOTALS"	0	0	0	1071	532	57	822	838	1660						
"KY"	2008	85	"METCALFE"	"C101"	"SUMMER SHADE"	1	9	53	344	384	44	379	393	772	130	243	157	285	427	400
"KY"	2008	85	"METCALFE"	"C102"	"WILLOW SHADE-BEAUMONT"	1	9	53	160	156	22	165	173	338	65	98	80	113	184	178
"KY"	2008	85	"METCALFE"	"C99"	"MAGIS.DIST. TOTALS"	0	0	0	504	540	66	544	566	1110						
"KY"	2008	85	"METCALFE"	"D101"	"GOOD LUCK-CURTIS"	1	9	53	254	290	25	288	281	569	79	167	111	200	294	278
"KY"	2008	85	"METCALFE"	"D102"	"MOORE SPRINGS-FLAT ROCK"	1	9	53	141	186	34	178	183	361	61	120	75	133	200	195
"KY"	2008	85	"METCALFE"	"D99"	"MAGIS.DIST. TOTALS"	0	0	0	395	476	59	466	464	930						
"KY"	2008	85	"METCALFE"	"AB"	"ABSENTEE"										80	131	109	163	248	240
"KY"	2008	85	"METCALFE"	"9999"	"TOTAL ALL PRECINCTS"	0	0	0	4154	2932	341	3628	3799	7427						
"KY"	2008	86	"MONROE"	"A101"	"FOUNTAIN RUN"	1	16	53	81	312	14	194	213	407	34	130	46	142	179	176
"KY"	2008	86	"MONROE"	"A102"	"GAMALIEL"	1	16	53	85	857	14	451	505	956	102	396	116	411	519	512
"KY"	2008	86	"MONROE"	"A103"	"WHITE OAK RIDGE"	1	16	53	33	187	3	112	111	223	13	79	29	98	113	108
"KY"	2008	86	"MONROE"	"A99"	"MAGIS.DIST. TOTALS"	0	0	0	199	1356	31	757	829	1586						
"KY"	2008	86	"MONROE"	"B101"	"GUM TREE"	1	16	53	94	779	15	457	431	888	85	342	105	352	445	447
"KY"	2008	86	"MONROE"	"B102"	"POPLAR LOG"	1	16	53	108	575	22	330	375	705	133	195	142	212	347	337
"KY"	2008	86	"MONROE"	"B99"	"MAGIS.DIST. TOTALS"	0	0	0	202	1354	37	787	806	1593						
"KY"	2008	86	"MONROE"	"C101"	"ROCK BRIDGE"	1	16	53	86	567	10	346	317	663	82	322	101	344	433	423
"KY"	2008	86	"MONROE"	"C102"	"SULPHUR LICK"	1	16	53	61	318	5	187	197	384	50	153	64	179	229	217
"KY"	2008	86	"MONROE"	"C103"	"NORTHWEST TOMPKINSVILLE"	1	16	53	151	549	13	327	386	713	96	289	120	317	421	409
"KY"	2008	86	"MONROE"	"C99"	"MAGIS.DIST. TOTALS"	0	0	0	298	1434	28	860	900	1760						
"KY"	2008	86	"MONROE"	"D101"	"WEST  TOMPKINSVILLE"	1	16	53	88	723	9	393	427	820	75	277	89	305	386	366
"KY"	2008	86	"MONROE"	"D102"	"COURTHOUSE"	1	16	53	145	876	24	516	529	1045	96	309	118	333	432	427
"KY"	2008	86	"MONROE"	"D99"	"MAGIS.DIST. TOTALS"	0	0	0	233	1599	33	909	956	1865						
"KY"	2008	86	"MONROE"	"E101"	"EAST TOMPKINSVILLE"	1	16	53	117	677	9	367	436	803	95	226	101	233	333	327
