state	year	precinct	g2006_DEL_dv	g2006_DEL_tv	g2006_MAY_dv	g2006_MAY_rv	g2006_MAY_tv	g2006_COC_dv	g2006_COC_tv	g2006_SHADS_dv	g2006_SHADS_rv	g2006_SHADS_tv	g2006_SHADR_dv	g2006_SHADR_rv	g2006_SHADR_tv
"DC"	2006	76	186	186	183	0	183	172	175	160	18	178	140	9	149
"DC"	2006	77	744	750	719	15	734	702	710	654	64	718	599	22	621
"DC"	2006	78	643	645	640	16	656	629	634	581	52	633	535	17	552
"DC"	2006	79	370	371	362	7	369	365	365	318	35	353	298	11	309
"DC"	2006	80	465	473	467	11	478	461	465	403	51	454	366	22	388
"DC"	2006	81	1347	1395	1292	76	1368	1311	1345	1156	156	1312	1046	102	1148
"DC"	2006	82	836	855	791	47	838	808	823	662	131	793	596	73	669
"DC"	2006	83	885	915	846	49	895	867	894	755	125	880	710	61	771
"DC"	2006	84	944	1007	887	130	1017	884	931	727	152	879	638	176	814
"DC"	2006	85	1183	1248	1103	196	1299	1114	1166	867	199	1066	770	257	1027
"DC"	2006	86	788	828	755	78	833	770	788	618	124	742	563	92	655
"DC"	2006	87	908	933	875	51	926	868	889	753	121	874	687	61	748
"DC"	2006	88	1009	1064	944	122	1066	949	988	721	173	894	642	168	810
"DC"	2006	89	1277	1378	1165	253	1418	1185	1254	858	231	1089	721	345	1066
"DC"	2006	90	688	718	615	98	713	628	650	483	133	616	442	138	580
"DC"	2006	91	1262	1313	1184	90	1274	1192	1231	971	225	1196	911	109	1020
"DC"	2006	92	406	412	411	5	416	411	417	386	28	414	354	10	364
"DC"	2006	93	427	429	402	8	410	419	421	373	34	407	341	13	354
"DC"	2006	94	484	488	465	11	476	463	471	424	47	471	395	17	412
"DC"	2006	95	396	398	386	4	390	388	390	352	30	382	324	4	328
"DC"	2006	96	546	547	525	8	533	540	549	486	49	535	459	7	466
"DC"	2006	97	319	325	310	5	315	316	318	287	28	315	274	8	282
"DC"	2006	98	546	552	530	10	540	540	546	495	42	537	433	14	447
"DC"	2006	99	351	356	346	7	353	344	347	301	37	338	290	8	298
"DC"	2006	100	413	415	412	4	416	405	406	377	24	401	354	14	368
"DC"	2006	101	601	602	598	7	605	587	594	534	50	584	499	16	515
"DC"	2006	102	671	681	653	19	672	667	677	596	58	654	546	19	565
"DC"	2006	103	922	931	914	17	931	898	914	801	69	870	729	20	749
"DC"	2006	104	578	588	564	11	575	561	569	517	43	560	461	18	479
"DC"	2006	105	572	580	569	10	579	555	564	514	47	561	480	12	492
"DC"	2006	106	906	914	870	24	894	884	900	802	79	881	734	27	761
"DC"	2006	107	304	306	306	4	310	300	302	272	28	300	257	4	261
"DC"	2006	108	527	537	503	16	519	523	531	464	51	515	431	20	451
"DC"	2006	109	481	489	458	15	473	474	480	378	67	445	367	18	385
"DC"	2006	110	1508	1525	1475	30	1505	1482	1497	1312	149	1461	1207	38	1245
"DC"	2006	111	642	650	619	12	631	624	629	557	64	621	511	15	526
"DC"	2006	112	605	609	569	8	577	592	599	519	70	589	476	21	497
"DC"	2006	113	901	915	867	28	895	886	897	755	104	859	712	36	748
"DC"	2006	114	616	622	608	17	625	599	605	546	57	603	498	23	521
"DC"	2006	115	502	507	501	5	506	487	494	467	18	485	403	20	423
