state	year	county	precinct	cd	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	cd2	g2008_USH_dv2	g2008_USH_rv2	g2008_USH_tv2	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	g2008_USP_tv	g2008_USS_tv
"NE"	2008	"Cherry"	"18"	3	97	394	491.0					118	381	146	337	514.0	502.0
"NE"	2008	"Cherry"	"19"	3	6	74	80.0					13	69	23	56	83.0	79.0
"NE"	2008	"Cherry"	"20"	3	17	99	116.0					13	101	31	79	116.0	118.0
"NE"	2008	"Cherry"	"EV-Absente"	3			0.0									0.0	0.0
"NE"	2008	"Cherry"	"NP-Party"	3			0.0					0	3			4.0	0.0
"NE"	2008	"Cherry"	"Provisiona"	3			0.0									0.0	0.0
"NE"	2008	"Cheyenne"	"01"	3	99	366	465.0					122	343	122	340	470.0	473.0
"NE"	2008	"Cheyenne"	"02"	3	108	422	530.0					127	399	111	411	535.0	537.0
"NE"	2008	"Cheyenne"	"03"	3	77	252	329.0					82	255	74	241	340.0	335.0
"NE"	2008	"Cheyenne"	"04"	3	91	350	441.0					105	334	98	336	441.0	445.0
"NE"	2008	"Cheyenne"	"05"	3	104	552	656.0					132	531	113	540	665.0	666.0
"NE"	2008	"Cheyenne"	"06"	3	29	194	223.0					30	197	27	193	228.0	226.0
"NE"	2008	"Cheyenne"	"07"	3	47	233	280.0					76	208	61	215	287.0	284.0
"NE"	2008	"Cheyenne"	"08"	3	64	218	282.0					70	210	69	198	283.0	284.0
"NE"	2008	"Cheyenne"	"09"	3	31	191	222.0					41	180	40	176	223.0	222.0
"NE"	2008	"Cheyenne"	"EV-Absente"	3	253	951	1204.0					365	860	311	879	1242.0	1234.0
"NE"	2008	"Cheyenne"	"NP-Party"	3			0.0					3	6			9.0	0.0
"NE"	2008	"Cheyenne"	"Provisiona"	3	15	53	68.0					20	49	14	54	69.0	69.0
"NE"	2008	"Clay"	"01"	3	65	238	303.0					87	224	138	168	315.0	317.0
"NE"	2008	"Clay"	"02"	3	40	146	186.0					51	136	73	113	189.0	191.0
"NE"	2008	"Clay"	"03"	3	62	256	318.0					69	247	119	203	322.0	327.0
"NE"	2008	"Clay"	"04"	3	51	256	307.0					76	230	119	197	310.0	320.0
"NE"	2008	"Clay"	"05"	3	36	177	213.0					34	175	73	142	210.0	215.0
"NE"	2008	"Clay"	"06"	3	31	128	159.0					46	122	75	91	169.0	169.0
"NE"	2008	"Clay"	"07"	3	19	140	159.0					37	131	69	107	169.0	176.0
"NE"	2008	"Clay"	"08"	3	43	101	144.0					52	92	76	66	145.0	147.0
"NE"	2008	"Clay"	"09"	3	59	216	275.0					76	203	112	170	282.0	285.0
"NE"	2008	"Clay"	"10"	3	62	240	302.0					92	218	134	174	314.0	315.0
"NE"	2008	"Clay"	"11"	3	46	127	173.0					49	115	73	96	166.0	171.0
