state	year	parish	ward	precinct	g2010_LTG_rv	g2010_LTG_dv	g2010_LTG_tv	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	cd	g2010_USH_dv2	g2010_USH_rv2	g2010_USH_tv2	cd2	g2010_USH_dv3	g2010_USH_rv3	g2010_USH_tv3	cd3
"LA"	2010	"St. Tammany"	"00"	"407"	469	80	549	69	460	552	50	498	554	1								
"LA"	2010	"St. Tammany"	"00"	"803"	362	154	516	123	360	520	100	404	516	1								
"LA"	2010	"St. Tammany"	"00"	"S04"	241	91	332	69	246	329	44	277	330	1								
"LA"	2010	"Jefferson"	"00"	"022"	91	35	126	25	91	127	21	95	123	1								
"LA"	2010	"Tangipahoa"	"00"	"072A"	247	144	391	107	263	393	83	265	369	1								
"LA"	2010	"St. Tammany"	"00"	"S21"	111	97	208	81	113	206	73	130	206	1								
"LA"	2010	"Tangipahoa"	"00"	"127"	84	40	124	36	76	123	27	79	115	1								
"LA"	2010	"St. Tammany"	"00"	"906"	219	129	348	113	225	348	96	242	341	1								
"LA"	2010	"Orleans"	"14"	"01"	108	130	238	140	87	239	112	108	224	1								
"LA"	2010	"Jefferson"	"00"	"065"	266	105	371	70	269	367	45	298	348	1								
"LA"	2010	"St. Tammany"	"00"	"302"	508	108	616	90	501	616	66	535	613	1								
"LA"	2010	"Washington"	"04"	"02A"	12	172	184	163	6	186	160	12	176	1								
"LA"	2010	"Jefferson"	"00"	"034"	342	74	416	64	331	420	39	350	400	1								
"LA"	2010	"Jefferson"	"00"	"038"	309	112	421	85	318	418	51	341	400	1								
"LA"	2010	"St. Tammany"	"00"	"S25"	53	137	190	125	54	195	116	64	184	1								
"LA"	2010	"St. Tammany"	"00"	"402"	384	75	459	72	370	459	52	401	459	1								
"LA"	2010	"Jefferson"	"00"	"H008"	566	132	698	95	558	692	59	606	672	1								
"LA"	2010	"Jefferson"	"00"	"K017"	412	186	598	157	423	607	122	458	588	1								
"LA"	2010	"St. Tammany"	"00"	"703"	164	225	389	214	150	397	187	187	381	1								
"LA"	2010	"Tangipahoa"	"00"	"015"	123	77	200	55	133	200	48	128	182	1								
"LA"	2010	"St. Tammany"	"00"	"416"	341	49	390	46	330	388	32	351	389	1								
"LA"	2010	"Tangipahoa"	"00"	"111"	65	44	109	47	63	113	31	64	101	1								
"LA"	2010	"St. Tammany"	"00"	"415"	290	76	366	64	274	366	55	306	368	1								
