state	year	precinct_code	precinct	g2006_REG_tv	g2006_GOV_tv	g2006_GOV_dv	g2006_GOV_rv	g2006_USH_tv	g2006_USH_dv	g2006_USH_rv	g2006_STS_tv	g2006_STS_dv	g2006_STS_rv	g2006_STH_tv	g2006_STH_dv	g2006_STH_rv
"AK"	2006	"21-000"	"District 21 - Question"	11808	248	117	105							39	28	11
"AK"	2006	"21-400"	"21-400 Baxter"	2419	1157	571	488	1144	506	598				1129	648	478
"AK"	2006	"21-405"	"21-405 Chester Valley"	2380	1117	436	587	1109	411	659				1097	536	560
"AK"	2006	"21-410"	"21-410 Chugach Foot Hills No. 1"	1266	498	216	251	496	193	281				494	280	214
"AK"	2006	"21-415"	"21-415 Chugach Foot Hills No. 2"	1949	813	382	343	802	378	400				805	520	285
"AK"	2006	"21-420"	"21-420 Reflection Lake"	2606	1022	454	457	1013	451	518				1003	569	431
"AK"	2006	"21-425"	"21-425 Scenic Park"	1188	621	235	317	610	218	380				607	340	267
"AK"	2006	"22-000"	"District 22 - Absentee"	10438	516	253	202							334	314	
"AK"	2006	"22-000"	"District 22 - Early Voting"	10438	143	77	51							114	106	
"AK"	2006	"22-000"	"District 22 - Question"	10438	315	163	113							21	20	
"AK"	2006	"22-430"	"22-430 Airport Heights No. 1"	1429	505	266	177	501	263	222				423	398	
"AK"	2006	"22-435"	"22-435 Airport Heights No. 2"	1474	729	444	210	720	420	273				635	608	
"AK"	2006	"22-440"	"22-440 College Gate"	1569	781	373	330	772	382	370				613	577	
"AK"	2006	"22-445"	"22-445 East Anchorage"	1667	450	207	198	445	216	217				356	337	
"AK"	2006	"22-450"	"22-450 Russian Jack"	1095	409	196	174	403	179	206				332	308	
"AK"	2006	"22-455"	"22-455 South Mtn View No. 2"	787	180	101	64	178	94	72				149	139	
"AK"	2006	"22-460"	"22-460 University No 1"	769	171	96	47	166	94	61				140	135	
"AK"	2006	"22-465"	"22-465 University No 2"	1648	445	203	199	439	196	226				335	314	
"AK"	2006	"23-000"	"District 23 - Absentee"	11136	787	468	242				527	501		547	510	
"AK"	2006	"23-000"	"District 23 - Early Voting"	11136	233	142	62				178	171		189	182	
"AK"	2006	"23-000"	"District 23 - Question"	11136	317	174	105				61	59		48	46	
