state	year	county	precinct	g2004_USP_tv	g2004_USP_dv	g2004_USP_rv	ld	g2004_STH_tv	g2004_STH_dv	g2004_STH_rv	ld10	g2004_STH_tv10	g2004_STH_dv10	g2004_STH_rv10	ld11	g2004_STH_tv11	g2004_STH_dv11	g2004_STH_rv11	ld12	g2004_STH_tv12	g2004_STH_dv12	g2004_STH_rv12	ld13	g2004_STH_tv13	g2004_STH_dv13	g2004_STH_rv13	ld14	g2004_STH_tv14	g2004_STH_dv14	g2004_STH_rv14	ld15	g2004_STH_tv15	g2004_STH_dv15	g2004_STH_rv15	ld16	g2004_STH_tv16	g2004_STH_dv16	g2004_STH_rv16	ld2	g2004_STH_tv2	g2004_STH_dv2	g2004_STH_rv2	ld3	g2004_STH_tv3	g2004_STH_dv3	g2004_STH_rv3	ld4	g2004_STH_tv4	g2004_STH_dv4	g2004_STH_rv4	ld5	g2004_STH_tv5	g2004_STH_dv5	g2004_STH_rv5	ld6	g2004_STH_tv6	g2004_STH_dv6	g2004_STH_rv6	ld7	g2004_STH_tv7	g2004_STH_dv7	g2004_STH_rv7	ld8	g2004_STH_tv8	g2004_STH_dv8	g2004_STH_rv8	ld9	g2004_STH_tv9	g2004_STH_dv9	g2004_STH_rv9	sd	g2004_STS_tv	g2004_STS_dv	g2004_STS_rv	sd2	g2004_STS_tv2	g2004_STS_dv2	g2004_STS_rv2	sd3	g2004_STS_tv3	g2004_STS_dv3	g2004_STS_rv3	cd	g2004_USH_tv	g2004_USH_dv	g2004_USH_rv	cd2	g2004_USH_tv2	g2004_USH_dv2	g2004_USH_rv2	cd3	g2004_USH_tv3	g2004_USH_dv3	g2004_USH_rv3
"TN"	2004	"LAUDERDALE"	"Central"	650.0	227.0	421.0	82	644	375	269																																																													32	600.0	256	344.0									8	609.0	417.0	192.0								
"TN"	2004	"LAUDERDALE"	"Conner"	315.0	147.0	165.0	82	312	194	118																																																													32	291.0	140	151.0									8	301.0	220.0	81.0								
"TN"	2004	"LAUDERDALE"	"Curve"	164.0	63.0	99.0	82	163	86	77																																																													32	151.0	67	84.0									8	157.0	104.0	53.0								
"TN"	2004	"LAUDERDALE"	"Edith"	352.0	136.0	215.0	82	349	195	154																																																													32	314.0	143	171.0									8	328.0	231.0	97.0								
"TN"	2004	"LAUDERDALE"	"Gates"	407.0	265.0	140.0	82	412	310	102																																																													32	363.0	241	122.0									8	386.0	322.0	64.0								
"TN"	2004	"LAUDERDALE"	"Glimp"	301.0	153.0	147.0	82	297	183	114																																																													32	257.0	126	131.0									8	281.0	210.0	71.0								
"TN"	2004	"LAUDERDALE"	"Halls 8"	1286.0	630.0	648.0	82	1245	758	487																																																													32	1141.0	564	577.0									8	1215.0	931.0	284.0								
"TN"	2004	"LAUDERDALE"	"Henning"	616.0	451.0	163.0	82	601	489	112																																																													32	516.0	372	144.0									8	562.0	488.0	73.0								
"TN"	2004	"LAUDERDALE"	"Lightfoot"	271.0	93.0	178.0	82	264	146	118																																																													32	235.0	88	147.0									8	249.0	167.0	82.0								
"TN"	2004	"LAUDERDALE"	"McBride"	214.0	106.0	106.0	82	210	146	64																																																													32	186.0	93	93.0									8	202.0	159.0	43.0								
"TN"	2004	"LAUDERDALE"	"Nankipoo"	427.0	163.0	263.0	82	422	242	180																																																													32	381.0	172	209.0									8	401.0	304.0	97.0								
"TN"	2004	"LAUDERDALE"	"Price"	109.0	46.0	63.0	82	107	70	37																																																													32	102.0	52	50.0									8	104.0	76.0	28.0								
